Geo,Event Year,Date,Day,Name,Type
poland,2000,1 Jan,Saturday,New Year's Day,National holiday
poland,2000,14 Feb,Monday,Valentine's Day,Observance
poland,2000,20 Mar,Monday,March Equinox,Season
poland,2000,21 Apr,Friday,Good Friday,Observance
poland,2000,22 Apr,Saturday,Holy Saturday,Observance
poland,2000,23 Apr,Sunday,Easter Sunday,National holiday
poland,2000,24 Apr,Monday,Easter Monday,National holiday
poland,2000,1 May,Monday,Labor Day / May Day,National holiday
poland,2000,2 May,Tuesday,Day of the Flag,Observance
poland,2000,3 May,Wednesday,Constitution Day,National holiday
poland,2000,26 May,Friday,Mothers' Day,Observance
poland,2000,1 Jun,Thursday,Children's Day,Observance
poland,2000,11 Jun,Sunday,Whit Sunday,National holiday
poland,2000,21 Jun,Wednesday,June Solstice,Season
poland,2000,22 Jun,Thursday,Corpus Christi,National holiday
poland,2000,23 Jun,Friday,Fathers' Day,Observance
poland,2000,15 Aug,Tuesday,Assumption of Mary,National holiday
poland,2000,22 Sep,Friday,September Equinox,Season
poland,2000,1 Nov,Wednesday,All Saints' Day,National holiday
poland,2000,11 Nov,Saturday,Independence Day,National holiday
poland,2000,21 Dec,Thursday,December Solstice,Season
poland,2000,24 Dec,Sunday,Christmas Eve,Observance
poland,2000,25 Dec,Monday,Christmas Day,National holiday
poland,2000,26 Dec,Tuesday,Second Day of Christmas,National holiday
poland,2000,31 Dec,Sunday,New Year's Eve,Observance
poland,2001,1 Jan,Monday,New Year's Day,National holiday
poland,2001,14 Feb,Wednesday,Valentine's Day,Observance
poland,2001,20 Mar,Tuesday,March Equinox,Season
poland,2001,13 Apr,Friday,Good Friday,Observance
poland,2001,14 Apr,Saturday,Holy Saturday,Observance
poland,2001,15 Apr,Sunday,Easter Sunday,National holiday
poland,2001,16 Apr,Monday,Easter Monday,National holiday
poland,2001,1 May,Tuesday,Labor Day / May Day,National holiday
poland,2001,2 May,Wednesday,Day of the Flag,Observance
poland,2001,3 May,Thursday,Constitution Day,National holiday
poland,2001,26 May,Saturday,Mothers' Day,Observance
poland,2001,1 Jun,Friday,Children's Day,Observance
poland,2001,3 Jun,Sunday,Whit Sunday,National holiday
poland,2001,14 Jun,Thursday,Corpus Christi,National holiday
poland,2001,21 Jun,Thursday,June Solstice,Season
poland,2001,23 Jun,Saturday,Fathers' Day,Observance
poland,2001,15 Aug,Wednesday,Assumption of Mary,National holiday
poland,2001,23 Sep,Sunday,September Equinox,Season
poland,2001,1 Nov,Thursday,All Saints' Day,National holiday
poland,2001,11 Nov,Sunday,Independence Day,National holiday
poland,2001,21 Dec,Friday,December Solstice,Season
poland,2001,24 Dec,Monday,Christmas Eve,Observance
poland,2001,25 Dec,Tuesday,Christmas Day,National holiday
poland,2001,26 Dec,Wednesday,Second Day of Christmas,National holiday
poland,2001,31 Dec,Monday,New Year's Eve,Observance
poland,2002,1 Jan,Tuesday,New Year's Day,National holiday
poland,2002,14 Feb,Thursday,Valentine's Day,Observance
poland,2002,20 Mar,Wednesday,March Equinox,Season
poland,2002,29 Mar,Friday,Good Friday,Observance
poland,2002,30 Mar,Saturday,Holy Saturday,Observance
poland,2002,31 Mar,Sunday,Easter Sunday,National holiday
poland,2002,1 Apr,Monday,Easter Monday,National holiday
poland,2002,1 May,Wednesday,Labor Day / May Day,National holiday
poland,2002,2 May,Thursday,Day of the Flag,Observance
poland,2002,3 May,Friday,Constitution Day,National holiday
poland,2002,19 May,Sunday,Whit Sunday,National holiday
poland,2002,26 May,Sunday,Mothers' Day,Observance
poland,2002,30 May,Thursday,Corpus Christi,National holiday
poland,2002,1 Jun,Saturday,Children's Day,Observance
poland,2002,21 Jun,Friday,June Solstice,Season
poland,2002,23 Jun,Sunday,Fathers' Day,Observance
poland,2002,15 Aug,Thursday,Assumption of Mary,National holiday
poland,2002,23 Sep,Monday,September Equinox,Season
poland,2002,1 Nov,Friday,All Saints' Day,National holiday
poland,2002,11 Nov,Monday,Independence Day,National holiday
poland,2002,22 Dec,Sunday,December Solstice,Season
poland,2002,24 Dec,Tuesday,Christmas Eve,Observance
poland,2002,25 Dec,Wednesday,Christmas Day,National holiday
poland,2002,26 Dec,Thursday,Second Day of Christmas,National holiday
