Geo,Event Year,Date,Day,Name,Type
portugal,2000,1 Jan,Saturday,New Year's Day,National holiday
portugal,2000,14 Feb,Monday,Valentine's Day,Observance
portugal,2000,7 Mar,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Optional Holiday
portugal,2000,19 Mar,Sunday,St. Joseph's Day,District Holiday
portugal,2000,19 Mar,Sunday,Fathers' Day,Observance
portugal,2000,20 Mar,Monday,March Equinox,Season
portugal,2000,26 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
portugal,2000,21 Apr,Friday,Good Friday,National holiday
portugal,2000,23 Apr,Sunday,Easter Sunday,National holiday
portugal,2000,25 Apr,Tuesday,Liberty Day,National holiday
portugal,2000,1 May,Monday,Labor Day / May Day,National holiday
portugal,2000,7 May,Sunday,Mothers' Day,Observance
portugal,2000,12 May,Friday,St. Joana's Day,District Holiday
portugal,2000,22 May,Monday,Leiria Day,District Holiday
portugal,2000,23 May,Tuesday,Portalegre Day,District Holiday
portugal,2000,1 Jun,Thursday,Ascension Day,District Holiday
portugal,2000,10 Jun,Saturday,Portugal Day,National holiday
portugal,2000,12 Jun,Monday,Azores Day,Regional Holiday
portugal,2000,13 Jun,Tuesday,St. Anthony's Day,District Holiday
portugal,2000,21 Jun,Wednesday,June Solstice,Season
portugal,2000,22 Jun,Thursday,Corpus Christi,National holiday
portugal,2000,24 Jun,Saturday,St. John's Day,District Holiday
portugal,2000,29 Jun,Thursday,St. Peter's Day,District Holiday
portugal,2000,1 Jul,Saturday,Madeira Day,Regional Holiday
portugal,2000,4 Jul,Tuesday,St. Elizabeth's Day,District Holiday
portugal,2000,15 Aug,Tuesday,Assumption of Mary,National holiday
portugal,2000,20 Aug,Sunday,Our Lady of Sorrows,District Holiday
portugal,2000,22 Aug,Tuesday,Our Lady of Graces,District Holiday
portugal,2000,7 Sep,Thursday,Faro Day,District Holiday
portugal,2000,15 Sep,Friday,Birth of Bocage,District Holiday
portugal,2000,21 Sep,Thursday,St. Matthew's Day,District Holiday
portugal,2000,22 Sep,Friday,September Equinox,Season
portugal,2000,5 Oct,Thursday,Republic Day,National holiday
portugal,2000,29 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
portugal,2000,1 Nov,Wednesday,All Saints' Day,National holiday
portugal,2000,27 Nov,Monday,Foral of Sancho I,District Holiday
portugal,2000,1 Dec,Friday,Restoration of Independence,National holiday
portugal,2000,8 Dec,Friday,Feast of the Immaculate Conception,National holiday
portugal,2000,21 Dec,Thursday,December Solstice,Season
portugal,2000,24 Dec,Sunday,Christmas Eve,Observance
portugal,2000,25 Dec,Monday,Christmas Day,National holiday
portugal,2000,31 Dec,Sunday,New Year's Eve,Observance
portugal,2001,1 Jan,Monday,New Year's Day,National holiday
portugal,2001,14 Feb,Wednesday,Valentine's Day,Observance
portugal,2001,27 Feb,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Optional Holiday
portugal,2001,19 Mar,Monday,St. Joseph's Day,District Holiday
portugal,2001,19 Mar,Monday,Fathers' Day,Observance
portugal,2001,20 Mar,Tuesday,March Equinox,Season
portugal,2001,25 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
portugal,2001,13 Apr,Friday,Good Friday,National holiday
portugal,2001,15 Apr,Sunday,Easter Sunday,National holiday
portugal,2001,25 Apr,Wednesday,Liberty Day,National holiday
portugal,2001,1 May,Tuesday,Labor Day / May Day,National holiday
portugal,2001,6 May,Sunday,Mothers' Day,Observance
portugal,2001,12 May,Saturday,St. Joana's Day,District Holiday
portugal,2001,22 May,Tuesday,Leiria Day,District Holiday
portugal,2001,23 May,Wednesday,Portalegre Day,District Holiday
portugal,2001,24 May,Thursday,Ascension Day,District Holiday
portugal,2001,4 Jun,Monday,Azores Day,Regional Holiday
portugal,2001,10 Jun,Sunday,Portugal Day,National holiday
portugal,2001,13 Jun,Wednesday,St. Anthony's Day,District Holiday
portugal,2001,14 Jun,Thursday,Corpus Christi,National holiday
portugal,2001,21 Jun,Thursday,June Solstice,Season
portugal,2001,24 Jun,Sunday,St. John's Day,District Holiday
portugal,2001,29 Jun,Friday,St. Peter's Day,District Holiday
portugal,2001,1 Jul,Sunday,Madeira Day,Regional Holiday
portugal,2001,4 Jul,Wednesday,St. Elizabeth's Day,District Holiday
portugal,2001,15 Aug,Wednesday,Assumption of Mary,National holiday
portugal,2001,20 Aug,Monday,Our Lady of Sorrows,District Holiday
portugal,2001,22 Aug,Wednesday,Our Lady of Graces,District Holiday
portugal,2001,7 Sep,Friday,Faro Day,District Holiday
portugal,2001,15 Sep,Saturday,Birth of Bocage,District Holiday
portugal,2001,21 Sep,Friday,St. Matthew's Day,District Holiday
portugal,2001,23 Sep,Sunday,September Equinox,Season
portugal,2001,5 Oct,Friday,Republic Day,National holiday
portugal,2001,28 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
portugal,2001,1 Nov,Thursday,All Saints' Day,National holiday
portugal,2001,27 Nov,Tuesday,Foral of Sancho I,District Holiday
portugal,2001,1 Dec,Saturday,Restoration of Independence,National holiday
portugal,2001,8 Dec,Saturday,Feast of the Immaculate Conception,National holiday
portugal,2001,21 Dec,Friday,December Solstice,Season
portugal,2001,24 Dec,Monday,Christmas Eve,Observance
portugal,2001,25 Dec,Tuesday,Christmas Day,National holiday
portugal,2001,31 Dec,Monday,New Year's Eve,Observance
portugal,2002,1 Jan,Tuesday,New Year's Day,National holiday
portugal,2002,12 Feb,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Optional Holiday
portugal,2002,14 Feb,Thursday,Valentine's Day,Observance
portugal,2002,19 Mar,Tuesday,St. Joseph's Day,District Holiday
portugal,2002,19 Mar,Tuesday,Fathers' Day,Observance
portugal,2002,20 Mar,Wednesday,March Equinox,Season
portugal,2002,29 Mar,Friday,Good Friday,National holiday
portugal,2002,31 Mar,Sunday,Easter Sunday,National holiday
portugal,2002,31 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
portugal,2002,25 Apr,Thursday,Liberty Day,National holiday
portugal,2002,1 May,Wednesday,Labor Day / May Day,National holiday
portugal,2002,5 May,Sunday,Mothers' Day,Observance
portugal,2002,9 May,Thursday,Ascension Day,District Holiday
portugal,2002,12 May,Sunday,St. Joana's Day,District Holiday
portugal,2002,20 May,Monday,Azores Day,Regional Holiday
portugal,2002,22 May,Wednesday,Leiria Day,District Holiday
portugal,2002,23 May,Thursday,Portalegre Day,District Holiday
portugal,2002,30 May,Thursday,Corpus Christi,National holiday
portugal,2002,10 Jun,Monday,Portugal Day,National holiday
portugal,2002,13 Jun,Thursday,St. Anthony's Day,District Holiday
portugal,2002,21 Jun,Friday,June Solstice,Season
portugal,2002,24 Jun,Monday,St. John's Day,District Holiday
portugal,2002,29 Jun,Saturday,St. Peter's Day,District Holiday
portugal,2002,1 Jul,Monday,Madeira Day,Regional Holiday
portugal,2002,4 Jul,Thursday,St. Elizabeth's Day,District Holiday
portugal,2002,15 Aug,Thursday,Assumption of Mary,National holiday
portugal,2002,20 Aug,Tuesday,Our Lady of Sorrows,District Holiday
portugal,2002,22 Aug,Thursday,Our Lady of Graces,District Holiday
portugal,2002,7 Sep,Saturday,Faro Day,District Holiday
portugal,2002,15 Sep,Sunday,Birth of Bocage,District Holiday
portugal,2002,21 Sep,Saturday,St. Matthew's Day,District Holiday
portugal,2002,23 Sep,Monday,September Equinox,Season
portugal,2002,5 Oct,Saturday,Republic Day,National holiday
portugal,2002,27 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
portugal,2002,1 Nov,Friday,All Saints' Day,National holiday
portugal,2002,27 Nov,Wednesday,Foral of Sancho I,District Holiday
portugal,2002,1 Dec,Sunday,Restoration of Independence,National holiday
portugal,2002,8 Dec,Sunday,Feast of the Immaculate Conception,National holiday
portugal,2002,22 Dec,Sunday,December Solstice,Season
portugal,2002,24 Dec,Tuesday,Christmas Eve,Observance
portugal,2002,25 Dec,Wednesday,Christmas Day,National holiday
portugal,2002,31 Dec,Tuesday,New Year's Eve,Observance
portugal,2003,1 Jan,Wednesday,New Year's Day,National holiday
portugal,2003,14 Feb,Friday,Valentine's Day,Observance
portugal,2003,4 Mar,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Optional Holiday
portugal,2003,19 Mar,Wednesday,St. Joseph's Day,District Holiday
portugal,2003,19 Mar,Wednesday,Fathers' Day,Observance
portugal,2003,21 Mar,Friday,March Equinox,Season
portugal,2003,30 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
portugal,2003,18 Apr,Friday,Good Friday,National holiday
portugal,2003,20 Apr,Sunday,Easter Sunday,National holiday
portugal,2003,25 Apr,Friday,Liberty Day,National holiday
portugal,2003,1 May,Thursday,Labor Day / May Day,National holiday
portugal,2003,4 May,Sunday,Mothers' Day,Observance
portugal,2003,12 May,Monday,St. Joana's Day,District Holiday
portugal,2003,22 May,Thursday,Leiria Day,District Holiday
portugal,2003,23 May,Friday,Portalegre Day,District Holiday
portugal,2003,29 May,Thursday,Ascension Day,District Holiday
portugal,2003,9 Jun,Monday,Azores Day,Regional Holiday
portugal,2003,10 Jun,Tuesday,Portugal Day,National holiday
portugal,2003,13 Jun,Friday,St. Anthony's Day,District Holiday
portugal,2003,19 Jun,Thursday,Corpus Christi,National holiday
portugal,2003,21 Jun,Saturday,June Solstice,Season
portugal,2003,24 Jun,Tuesday,St. John's Day,District Holiday
portugal,2003,29 Jun,Sunday,St. Peter's Day,District Holiday
portugal,2003,1 Jul,Tuesday,Madeira Day,Regional Holiday
portugal,2003,4 Jul,Friday,St. Elizabeth's Day,District Holiday
portugal,2003,15 Aug,Friday,Assumption of Mary,National holiday
portugal,2003,20 Aug,Wednesday,Our Lady of Sorrows,District Holiday
portugal,2003,22 Aug,Friday,Our Lady of Graces,District Holiday
portugal,2003,7 Sep,Sunday,Faro Day,District Holiday
portugal,2003,15 Sep,Monday,Birth of Bocage,District Holiday
portugal,2003,21 Sep,Sunday,St. Matthew's Day,District Holiday
portugal,2003,23 Sep,Tuesday,September Equinox,Season
portugal,2003,5 Oct,Sunday,Republic Day,National holiday
portugal,2003,26 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
portugal,2003,1 Nov,Saturday,All Saints' Day,National holiday
portugal,2003,27 Nov,Thursday,Foral of Sancho I,District Holiday
portugal,2003,1 Dec,Monday,Restoration of Independence,National holiday
portugal,2003,8 Dec,Monday,Feast of the Immaculate Conception,National holiday
portugal,2003,22 Dec,Monday,December Solstice,Season
portugal,2003,24 Dec,Wednesday,Christmas Eve,Observance
portugal,2003,25 Dec,Thursday,Christmas Day,National holiday
portugal,2003,31 Dec,Wednesday,New Year's Eve,Observance
portugal,2004,1 Jan,Thursday,New Year's Day,National holiday
portugal,2004,14 Feb,Saturday,Valentine's Day,Observance
portugal,2004,24 Feb,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Optional Holiday
portugal,2004,19 Mar,Friday,St. Joseph's Day,District Holiday
portugal,2004,19 Mar,Friday,Fathers' Day,Observance
portugal,2004,20 Mar,Saturday,March Equinox,Season
portugal,2004,28 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
portugal,2004,9 Apr,Friday,Good Friday,National holiday
portugal,2004,11 Apr,Sunday,Easter Sunday,National holiday
portugal,2004,25 Apr,Sunday,Liberty Day,National holiday
portugal,2004,1 May,Saturday,Labor Day / May Day,National holiday
portugal,2004,2 May,Sunday,Mothers' Day,Observance
portugal,2004,12 May,Wednesday,St. Joana's Day,District Holiday
portugal,2004,20 May,Thursday,Ascension Day,District Holiday
portugal,2004,22 May,Saturday,Leiria Day,District Holiday
portugal,2004,23 May,Sunday,Portalegre Day,District Holiday
portugal,2004,31 May,Monday,Azores Day,Regional Holiday
portugal,2004,10 Jun,Thursday,Corpus Christi,National holiday
portugal,2004,10 Jun,Thursday,Portugal Day,National holiday
portugal,2004,13 Jun,Sunday,St. Anthony's Day,District Holiday
portugal,2004,21 Jun,Monday,June Solstice,Season
portugal,2004,24 Jun,Thursday,St. John's Day,District Holiday
portugal,2004,29 Jun,Tuesday,St. Peter's Day,District Holiday
portugal,2004,1 Jul,Thursday,Madeira Day,Regional Holiday
portugal,2004,4 Jul,Sunday,St. Elizabeth's Day,District Holiday
portugal,2004,15 Aug,Sunday,Assumption of Mary,National holiday
portugal,2004,20 Aug,Friday,Our Lady of Sorrows,District Holiday
portugal,2004,22 Aug,Sunday,Our Lady of Graces,District Holiday
portugal,2004,7 Sep,Tuesday,Faro Day,District Holiday
portugal,2004,15 Sep,Wednesday,Birth of Bocage,District Holiday
portugal,2004,21 Sep,Tuesday,St. Matthew's Day,District Holiday
portugal,2004,22 Sep,Wednesday,September Equinox,Season
portugal,2004,5 Oct,Tuesday,Republic Day,National holiday
portugal,2004,31 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
portugal,2004,1 Nov,Monday,All Saints' Day,National holiday
portugal,2004,27 Nov,Saturday,Foral of Sancho I,District Holiday
portugal,2004,1 Dec,Wednesday,Restoration of Independence,National holiday
portugal,2004,8 Dec,Wednesday,Feast of the Immaculate Conception,National holiday
portugal,2004,21 Dec,Tuesday,December Solstice,Season
portugal,2004,24 Dec,Friday,Christmas Eve,Observance
portugal,2004,25 Dec,Saturday,Christmas Day,National holiday
portugal,2004,31 Dec,Friday,New Year's Eve,Observance
portugal,2005,1 Jan,Saturday,New Year's Day,National holiday
portugal,2005,8 Feb,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Optional Holiday
portugal,2005,14 Feb,Monday,Valentine's Day,Observance
portugal,2005,19 Mar,Saturday,St. Joseph's Day,District Holiday
portugal,2005,19 Mar,Saturday,Fathers' Day,Observance
portugal,2005,20 Mar,Sunday,March Equinox,Season
portugal,2005,25 Mar,Friday,Good Friday,National holiday
portugal,2005,27 Mar,Sunday,Easter Sunday,National holiday
portugal,2005,27 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
portugal,2005,25 Apr,Monday,Liberty Day,National holiday
portugal,2005,1 May,Sunday,Labor Day / May Day,National holiday
portugal,2005,1 May,Sunday,Mothers' Day,Observance
portugal,2005,5 May,Thursday,Ascension Day,District Holiday
portugal,2005,12 May,Thursday,St. Joana's Day,District Holiday
portugal,2005,16 May,Monday,Azores Day,Regional Holiday
portugal,2005,22 May,Sunday,Leiria Day,District Holiday
portugal,2005,23 May,Monday,Portalegre Day,District Holiday
portugal,2005,26 May,Thursday,Corpus Christi,National holiday
portugal,2005,10 Jun,Friday,Portugal Day,National holiday
portugal,2005,13 Jun,Monday,St. Anthony's Day,District Holiday
portugal,2005,21 Jun,Tuesday,June Solstice,Season
portugal,2005,24 Jun,Friday,St. John's Day,District Holiday
portugal,2005,29 Jun,Wednesday,St. Peter's Day,District Holiday
portugal,2005,1 Jul,Friday,Madeira Day,Regional Holiday
portugal,2005,4 Jul,Monday,St. Elizabeth's Day,District Holiday
portugal,2005,15 Aug,Monday,Assumption of Mary,National holiday
portugal,2005,20 Aug,Saturday,Our Lady of Sorrows,District Holiday
portugal,2005,22 Aug,Monday,Our Lady of Graces,District Holiday
portugal,2005,7 Sep,Wednesday,Faro Day,District Holiday
portugal,2005,15 Sep,Thursday,Birth of Bocage,District Holiday
portugal,2005,21 Sep,Wednesday,St. Matthew's Day,District Holiday
portugal,2005,22 Sep,Thursday,September Equinox,Season
portugal,2005,5 Oct,Wednesday,Republic Day,National holiday
portugal,2005,30 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
portugal,2005,1 Nov,Tuesday,All Saints' Day,National holiday
portugal,2005,27 Nov,Sunday,Foral of Sancho I,District Holiday
portugal,2005,1 Dec,Thursday,Restoration of Independence,National holiday
portugal,2005,8 Dec,Thursday,Feast of the Immaculate Conception,National holiday
portugal,2005,21 Dec,Wednesday,December Solstice,Season
portugal,2005,24 Dec,Saturday,Christmas Eve,Observance
portugal,2005,25 Dec,Sunday,Christmas Day,National holiday
portugal,2005,31 Dec,Saturday,New Year's Eve,Observance
portugal,2006,1 Jan,Sunday,New Year's Day,National holiday
portugal,2006,14 Feb,Tuesday,Valentine's Day,Observance
portugal,2006,28 Feb,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Optional Holiday
