Geo,Event Year,Date,Day,Name,Type
reunion,2014,1 Jan,Wednesday,New Year,Public Holiday
reunion,2014,20 Mar,Thursday,March Equinox,Season
reunion,2014,21 Apr,Monday,Easter Monday,Public Holiday
reunion,2014,1 May,Thursday,Labour Day,Public Holiday
reunion,2014,8 May,Thursday,WWII Victory Day,Public Holiday
reunion,2014,29 May,Thursday,Ascension Day,Public Holiday
reunion,2014,9 Jun,Monday,Whit Monday,Public Holiday
reunion,2014,21 Jun,Saturday,June Solstice,Season
reunion,2014,14 Jul,Monday,French National Day,Public Holiday
reunion,2014,15 Aug,Friday,Assumption of Mary,Public Holiday
reunion,2014,23 Sep,Tuesday,September Equinox,Season
reunion,2014,1 Nov,Saturday,All Saints' Day,Public Holiday
reunion,2014,11 Nov,Tuesday,Armistice Day,Public Holiday
reunion,2014,20 Dec,Saturday,Abolition of Slavery,Public Holiday
reunion,2014,22 Dec,Monday,December Solstice,Season
reunion,2014,25 Dec,Thursday,Christmas Day,Public Holiday
reunion,2015,1 Jan,Thursday,New Year,Public Holiday
reunion,2015,21 Mar,Saturday,March Equinox,Season
reunion,2015,6 Apr,Monday,Easter Monday,Public Holiday
reunion,2015,1 May,Friday,Labour Day,Public Holiday
reunion,2015,8 May,Friday,WWII Victory Day,Public Holiday
reunion,2015,14 May,Thursday,Ascension Day,Public Holiday
reunion,2015,25 May,Monday,Whit Monday,Public Holiday
reunion,2015,21 Jun,Sunday,June Solstice,Season
reunion,2015,14 Jul,Tuesday,French National Day,Public Holiday
reunion,2015,15 Aug,Saturday,Assumption of Mary,Public Holiday
reunion,2015,23 Sep,Wednesday,September Equinox,Season
reunion,2015,1 Nov,Sunday,All Saints' Day,Public Holiday
reunion,2015,11 Nov,Wednesday,Armistice Day,Public Holiday
reunion,2015,20 Dec,Sunday,Abolition of Slavery,Public Holiday
reunion,2015,22 Dec,Tuesday,December Solstice,Season
reunion,2015,25 Dec,Friday,Christmas Day,Public Holiday
reunion,2016,1 Jan,Friday,New Year,Public Holiday
reunion,2016,20 Mar,Sunday,March Equinox,Season
reunion,2016,28 Mar,Monday,Easter Monday,Public Holiday
reunion,2016,1 May,Sunday,Labour Day,Public Holiday
reunion,2016,5 May,Thursday,Ascension Day,Public Holiday
reunion,2016,8 May,Sunday,WWII Victory Day,Public Holiday
reunion,2016,16 May,Monday,Whit Monday,Public Holiday
reunion,2016,21 Jun,Tuesday,June Solstice,Season
reunion,2016,14 Jul,Thursday,French National Day,Public Holiday
reunion,2016,15 Aug,Monday,Assumption of Mary,Public Holiday
reunion,2016,22 Sep,Thursday,September Equinox,Season
reunion,2016,1 Nov,Tuesday,All Saints' Day,Public Holiday
reunion,2016,11 Nov,Friday,Armistice Day,Public Holiday
reunion,2016,20 Dec,Tuesday,Abolition of Slavery,Public Holiday
reunion,2016,21 Dec,Wednesday,December Solstice,Season
reunion,2016,25 Dec,Sunday,Christmas Day,Public Holiday
reunion,2017,1 Jan,Sunday,New Year,Public Holiday
reunion,2017,20 Mar,Monday,March Equinox,Season
reunion,2017,17 Apr,Monday,Easter Monday,Public Holiday
reunion,2017,1 May,Monday,Labour Day,Public Holiday
reunion,2017,8 May,Monday,WWII Victory Day,Public Holiday
reunion,2017,25 May,Thursday,Ascension Day,Public Holiday
reunion,2017,5 Jun,Monday,Whit Monday,Public Holiday
reunion,2017,21 Jun,Wednesday,June Solstice,Season
reunion,2017,14 Jul,Friday,French National Day,Public Holiday
reunion,2017,15 Aug,Tuesday,Assumption of Mary,Public Holiday
