Geo,Event Year,Date,Day,Name,Type
romania,2000,1 Jan,Saturday,New Year's Day,National holiday
romania,2000,2 Jan,Sunday,Day after New Year's Day,National holiday
romania,2000,6 Jan,Thursday,Epiphany,"Observance, Orthodox"
romania,2000,7 Jan,Friday,Synaxis of St. John the Baptist,Observance
romania,2000,24 Feb,Thursday,Dragobete,Observance
romania,2000,1 Mar,Wednesday,Mărțișor,Observance
romania,2000,8 Mar,Wednesday,International Women's Day,Observance
romania,2000,20 Mar,Monday,March Equinox,Season
romania,2000,30 Apr,Sunday,Orthodox Easter Day,"National holiday, Orthodox"
romania,2000,1 May,Monday,Labor Day / May Day,National holiday
romania,2000,1 May,Monday,Orthodox Easter Monday,"National holiday, Orthodox"
romania,2000,1 Jun,Thursday,Children's Day,Observance
romania,2000,8 Jun,Thursday,Orthodox Ascension Day,"Observance, Orthodox"
romania,2000,18 Jun,Sunday,Orthodox Pentecost,"National holiday, Orthodox"
romania,2000,19 Jun,Monday,Orthodox Pentecost Monday,"National holiday, Orthodox"
romania,2000,21 Jun,Wednesday,June Solstice,Season
romania,2000,26 Jun,Monday,Flag Day,Observance
romania,2000,29 Jul,Saturday,National Anthem Day,Observance
romania,2000,15 Aug,Tuesday,St Mary's Day,National holiday
romania,2000,22 Sep,Friday,September Equinox,Season
romania,2000,31 Oct,Tuesday,Halloween,Observance
romania,2000,1 Dec,Friday,National Day,National holiday
romania,2000,8 Dec,Friday,Constitution Day,Observance
romania,2000,21 Dec,Thursday,December Solstice,Season
romania,2000,24 Dec,Sunday,Christmas Eve,Observance
romania,2000,25 Dec,Monday,Christmas Day,National holiday
romania,2000,26 Dec,Tuesday,Second day of Christmas,National holiday
romania,2000,31 Dec,Sunday,New Year's Eve,Observance
romania,2001,1 Jan,Monday,New Year's Day,National holiday
romania,2001,2 Jan,Tuesday,Day after New Year's Day,National holiday
romania,2001,6 Jan,Saturday,Epiphany,"Observance, Orthodox"
romania,2001,7 Jan,Sunday,Synaxis of St. John the Baptist,Observance
romania,2001,24 Feb,Saturday,Dragobete,Observance
romania,2001,1 Mar,Thursday,Mărțișor,Observance
romania,2001,8 Mar,Thursday,International Women's Day,Observance
romania,2001,20 Mar,Tuesday,March Equinox,Season
romania,2001,15 Apr,Sunday,Orthodox Easter Day,"National holiday, Orthodox"
romania,2001,16 Apr,Monday,Orthodox Easter Monday,"National holiday, Orthodox"
romania,2001,1 May,Tuesday,Labor Day / May Day,National holiday
romania,2001,24 May,Thursday,Orthodox Ascension Day,"Observance, Orthodox"
romania,2001,1 Jun,Friday,Children's Day,Observance
romania,2001,3 Jun,Sunday,Orthodox Pentecost,"National holiday, Orthodox"
romania,2001,4 Jun,Monday,Orthodox Pentecost Monday,"National holiday, Orthodox"
romania,2001,21 Jun,Thursday,June Solstice,Season
romania,2001,26 Jun,Tuesday,Flag Day,Observance
romania,2001,29 Jul,Sunday,National Anthem Day,Observance
romania,2001,15 Aug,Wednesday,St Mary's Day,National holiday
romania,2001,23 Sep,Sunday,September Equinox,Season
romania,2001,31 Oct,Wednesday,Halloween,Observance
romania,2001,1 Dec,Saturday,National Day,National holiday
romania,2001,8 Dec,Saturday,Constitution Day,Observance
romania,2001,21 Dec,Friday,December Solstice,Season
romania,2001,24 Dec,Monday,Christmas Eve,Observance
romania,2001,25 Dec,Tuesday,Christmas Day,National holiday
romania,2001,26 Dec,Wednesday,Second day of Christmas,National holiday
romania,2001,31 Dec,Monday,New Year's Eve,Observance
romania,2002,1 Jan,Tuesday,New Year's Day,National holiday
romania,2002,2 Jan,Wednesday,Day after New Year's Day,National holiday
romania,2002,6 Jan,Sunday,Epiphany,"Observance, Orthodox"
romania,2002,7 Jan,Monday,Synaxis of St. John the Baptist,Observance
romania,2002,24 Feb,Sunday,Dragobete,Observance
romania,2002,1 Mar,Friday,Mărțișor,Observance
romania,2002,8 Mar,Friday,International Women's Day,Observance
romania,2002,20 Mar,Wednesday,March Equinox,Season
romania,2002,1 May,Wednesday,Labor Day / May Day,National holiday
romania,2002,5 May,Sunday,Orthodox Easter Day,"National holiday, Orthodox"
romania,2002,6 May,Monday,Orthodox Easter Monday,"National holiday, Orthodox"
romania,2002,1 Jun,Saturday,Children's Day,Observance
romania,2002,13 Jun,Thursday,Orthodox Ascension Day,"Observance, Orthodox"
romania,2002,21 Jun,Friday,June Solstice,Season
romania,2002,23 Jun,Sunday,Orthodox Pentecost,"National holiday, Orthodox"
