Geo,Event Year,Date,Day,Name,Type
russia,2000,1 Jan,Saturday,New Year's Day,National holiday
russia,2000,3 Jan,Monday,Lailat al-Qadr,Muslim
russia,2000,3 Jan,Monday,New Year Holiday,National holiday
russia,2000,4 Jan,Tuesday,New Year Holiday,National holiday
russia,2000,5 Jan,Wednesday,New Year Holiday,National holiday
russia,2000,6 Jan,Thursday,New Year Holiday,National holiday
russia,2000,7 Jan,Friday,Orthodox Christmas Day,"National holiday, Orthodox"
russia,2000,8 Jan,Saturday,Eid al-Fitr,Muslim
russia,2000,10 Jan,Monday,New Year Holiday,Observance
russia,2000,14 Jan,Friday,Old New Year,Observance
russia,2000,14 Feb,Monday,Valentine's Day,Observance
russia,2000,8 Mar,Wednesday,International Women's Day,National holiday
russia,2000,16 Mar,Thursday,Eid al-Adha,Muslim
russia,2000,20 Mar,Monday,March Equinox,Season
russia,2000,6 Apr,Thursday,Muharram,Muslim
russia,2000,30 Apr,Sunday,Orthodox Easter Day,"Observance, Orthodox"
russia,2000,1 May,Monday,Spring and Labor Day,National holiday
russia,2000,9 May,Tuesday,Victory Day,National holiday
russia,2000,12 Jun,Monday,Day of Signing the Declaration of State Sovereignty,National holiday
russia,2000,15 Jun,Thursday,The Prophet's Birthday,Muslim
russia,2000,21 Jun,Wednesday,June Solstice,Season
russia,2000,22 Sep,Friday,September Equinox,Season
russia,2000,26 Oct,Thursday,Isra and Mi'raj,Muslim
russia,2000,7 Nov,Tuesday,Day of Accord and Reconciliation,National holiday
russia,2000,26 Nov,Sunday,Mothers' Day,Observance
russia,2000,28 Nov,Tuesday,Ramadan starts,Muslim
russia,2000,12 Dec,Tuesday,Constitution Day,National holiday
russia,2000,21 Dec,Thursday,December Solstice,Season
russia,2000,23 Dec,Saturday,Lailat al-Qadr,Muslim
russia,2000,28 Dec,Thursday,Eid al-Fitr,Muslim
russia,2001,1 Jan,Monday,New Year's Day,National holiday
russia,2001,2 Jan,Tuesday,New Year Holiday,National holiday
russia,2001,3 Jan,Wednesday,New Year Holiday,National holiday
russia,2001,4 Jan,Thursday,New Year Holiday,National holiday
russia,2001,5 Jan,Friday,New Year Holiday,National holiday
russia,2001,7 Jan,Sunday,Orthodox Christmas Day,"National holiday, Orthodox"
russia,2001,8 Jan,Monday,New Year Holiday,National holiday
russia,2001,9 Jan,Tuesday,New Year Holiday,National holiday
russia,2001,10 Jan,Wednesday,New Year Holiday,Observance
russia,2001,14 Jan,Sunday,Old New Year,Observance
russia,2001,14 Feb,Wednesday,Valentine's Day,Observance
russia,2001,6 Mar,Tuesday,Eid al-Adha,Muslim
russia,2001,8 Mar,Thursday,International Women's Day,National holiday
