Geo,Event Year,Date,Day,Name,Type
rwanda,2000,1 Jan,Saturday,New Year,Public Holiday
rwanda,2000,2 Jan,Sunday,Day After New Year's Day,Public Holiday
rwanda,2000,3 Jan,Monday,New Year observed,Public Holiday
rwanda,2000,3 Jan,Monday,Day After New Year's Day observed,Public Holiday
rwanda,2000,8 Jan,Saturday,Eid al-Fitr,Public Holiday
rwanda,2000,10 Jan,Monday,Eid al-Fitr observed,Public Holiday
rwanda,2000,1 Feb,Tuesday,National Heroes' Day,Public Holiday
rwanda,2000,20 Mar,Monday,March Equinox,Season
rwanda,2000,7 Apr,Friday,Tutsi Genocide Memorial Day,Public Holiday
rwanda,2000,21 Apr,Friday,Good Friday,Public Holiday
rwanda,2000,1 May,Monday,Labor Day,Public Holiday
rwanda,2000,21 Jun,Wednesday,June Solstice,Season
rwanda,2000,1 Jul,Saturday,Independence Day,Public Holiday
rwanda,2000,3 Jul,Monday,Independence Day observed,Public Holiday
rwanda,2000,4 Jul,Tuesday,Liberation Day,Public Holiday
rwanda,2000,4 Aug,Friday,Umuganura Day,Public Holiday
rwanda,2000,15 Aug,Tuesday,Assumption of Mary,Public Holiday
rwanda,2000,22 Sep,Friday,September Equinox,Season
rwanda,2000,21 Dec,Thursday,December Solstice,Season
rwanda,2000,25 Dec,Monday,Christmas Day,Public Holiday
rwanda,2000,26 Dec,Tuesday,Boxing Day,Public Holiday
rwanda,2000,28 Dec,Thursday,Eid al-Fitr,Public Holiday
rwanda,2001,1 Jan,Monday,New Year,Public Holiday
rwanda,2001,2 Jan,Tuesday,Day After New Year's Day,Public Holiday
rwanda,2001,1 Feb,Thursday,National Heroes' Day,Public Holiday
rwanda,2001,20 Mar,Tuesday,March Equinox,Season
rwanda,2001,7 Apr,Saturday,Tutsi Genocide Memorial Day,Public Holiday
rwanda,2001,13 Apr,Friday,Good Friday,Public Holiday
rwanda,2001,1 May,Tuesday,Labor Day,Public Holiday
rwanda,2001,21 Jun,Thursday,June Solstice,Season
rwanda,2001,1 Jul,Sunday,Independence Day,Public Holiday
rwanda,2001,2 Jul,Monday,Independence Day observed,Public Holiday
rwanda,2001,4 Jul,Wednesday,Liberation Day,Public Holiday
rwanda,2001,3 Aug,Friday,Umuganura Day,Public Holiday
rwanda,2001,15 Aug,Wednesday,Assumption of Mary,Public Holiday
rwanda,2001,23 Sep,Sunday,September Equinox,Season
rwanda,2001,17 Dec,Monday,Eid al-Fitr,Public Holiday
rwanda,2001,21 Dec,Friday,December Solstice,Season
rwanda,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
rwanda,2001,26 Dec,Wednesday,Boxing Day,Public Holiday
rwanda,2002,1 Jan,Tuesday,New Year,Public Holiday
rwanda,2002,2 Jan,Wednesday,Day After New Year's Day,Public Holiday
rwanda,2002,1 Feb,Friday,National Heroes' Day,Public Holiday
rwanda,2002,20 Mar,Wednesday,March Equinox,Season
rwanda,2002,29 Mar,Friday,Good Friday,Public Holiday
rwanda,2002,7 Apr,Sunday,Tutsi Genocide Memorial Day,Public Holiday
rwanda,2002,1 May,Wednesday,Labor Day,Public Holiday
rwanda,2002,21 Jun,Friday,June Solstice,Season
rwanda,2002,1 Jul,Monday,Independence Day,Public Holiday
rwanda,2002,4 Jul,Thursday,Liberation Day,Public Holiday
rwanda,2002,2 Aug,Friday,Umuganura Day,Public Holiday
rwanda,2002,15 Aug,Thursday,Assumption of Mary,Public Holiday
rwanda,2002,23 Sep,Monday,September Equinox,Season
rwanda,2002,6 Dec,Friday,Eid al-Fitr,Public Holiday
rwanda,2002,22 Dec,Sunday,December Solstice,Season
rwanda,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
rwanda,2002,26 Dec,Thursday,Boxing Day,Public Holiday
rwanda,2003,1 Jan,Wednesday,New Year,Public Holiday
rwanda,2003,2 Jan,Thursday,Day After New Year's Day,Public Holiday
