Geo,Event Year,Date,Day,Name,Type
saint-kitts-and-nevis,2000,1 Jan,Saturday,New Year's Day,Public Holiday
saint-kitts-and-nevis,2000,2 Jan,Sunday,Carnival Day,Public Holiday
saint-kitts-and-nevis,2000,3 Jan,Monday,New Year's Day observed,Public Holiday
saint-kitts-and-nevis,2000,3 Jan,Monday,Day off for Carnival Day,Public Holiday
saint-kitts-and-nevis,2000,20 Mar,Monday,March Equinox,Season
saint-kitts-and-nevis,2000,21 Apr,Friday,Good Friday,Public Holiday
saint-kitts-and-nevis,2000,24 Apr,Monday,Easter Monday,Public Holiday
saint-kitts-and-nevis,2000,1 May,Monday,Labor Day / May Day,Public Holiday
saint-kitts-and-nevis,2000,12 Jun,Monday,Whit Monday,Public Holiday
saint-kitts-and-nevis,2000,20 Jun,Tuesday,June Solstice,Season
saint-kitts-and-nevis,2000,7 Aug,Monday,Emancipation Day,Public Holiday
saint-kitts-and-nevis,2000,8 Aug,Tuesday,Culturama Day,Public Holiday
saint-kitts-and-nevis,2000,16 Sep,Saturday,National Heroes Day,Public Holiday
saint-kitts-and-nevis,2000,19 Sep,Tuesday,Independence Day,Public Holiday
saint-kitts-and-nevis,2000,22 Sep,Friday,September Equinox,Season
saint-kitts-and-nevis,2000,21 Dec,Thursday,December Solstice,Season
saint-kitts-and-nevis,2000,25 Dec,Monday,Christmas Day,Public Holiday
saint-kitts-and-nevis,2000,26 Dec,Tuesday,Boxing Day,Public Holiday
saint-kitts-and-nevis,2001,1 Jan,Monday,New Year's Day,Public Holiday
saint-kitts-and-nevis,2001,2 Jan,Tuesday,Carnival Day,Public Holiday
saint-kitts-and-nevis,2001,20 Mar,Tuesday,March Equinox,Season
saint-kitts-and-nevis,2001,13 Apr,Friday,Good Friday,Public Holiday
saint-kitts-and-nevis,2001,16 Apr,Monday,Easter Monday,Public Holiday
saint-kitts-and-nevis,2001,7 May,Monday,Labor Day / May Day,Public Holiday
saint-kitts-and-nevis,2001,4 Jun,Monday,Whit Monday,Public Holiday
saint-kitts-and-nevis,2001,21 Jun,Thursday,June Solstice,Season
saint-kitts-and-nevis,2001,6 Aug,Monday,Emancipation Day,Public Holiday
saint-kitts-and-nevis,2001,7 Aug,Tuesday,Culturama Day,Public Holiday
saint-kitts-and-nevis,2001,16 Sep,Sunday,National Heroes Day,Public Holiday
saint-kitts-and-nevis,2001,17 Sep,Monday,National Heroes Day observed,Public Holiday
saint-kitts-and-nevis,2001,19 Sep,Wednesday,Independence Day,Public Holiday
saint-kitts-and-nevis,2001,22 Sep,Saturday,September Equinox,Season
saint-kitts-and-nevis,2001,21 Dec,Friday,December Solstice,Season
saint-kitts-and-nevis,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
saint-kitts-and-nevis,2001,26 Dec,Wednesday,Boxing Day,Public Holiday
saint-kitts-and-nevis,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
saint-kitts-and-nevis,2002,2 Jan,Wednesday,Carnival Day,Public Holiday
saint-kitts-and-nevis,2002,20 Mar,Wednesday,March Equinox,Season
saint-kitts-and-nevis,2002,29 Mar,Friday,Good Friday,Public Holiday
saint-kitts-and-nevis,2002,1 Apr,Monday,Easter Monday,Public Holiday
saint-kitts-and-nevis,2002,6 May,Monday,Labor Day / May Day,Public Holiday
saint-kitts-and-nevis,2002,20 May,Monday,Whit Monday,Public Holiday
saint-kitts-and-nevis,2002,21 Jun,Friday,June Solstice,Season
saint-kitts-and-nevis,2002,5 Aug,Monday,Emancipation Day,Public Holiday
saint-kitts-and-nevis,2002,6 Aug,Tuesday,Culturama Day,Public Holiday
saint-kitts-and-nevis,2002,16 Sep,Monday,National Heroes Day,Public Holiday
saint-kitts-and-nevis,2002,19 Sep,Thursday,Independence Day,Public Holiday
saint-kitts-and-nevis,2002,23 Sep,Monday,September Equinox,Season
saint-kitts-and-nevis,2002,21 Dec,Saturday,December Solstice,Season
saint-kitts-and-nevis,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
saint-kitts-and-nevis,2002,26 Dec,Thursday,Boxing Day,Public Holiday
saint-kitts-and-nevis,2003,1 Jan,Wednesday,New Year's Day,Public Holiday
saint-kitts-and-nevis,2003,2 Jan,Thursday,Carnival Day,Public Holiday
saint-kitts-and-nevis,2003,20 Mar,Thursday,March Equinox,Season
saint-kitts-and-nevis,2003,18 Apr,Friday,Good Friday,Public Holiday
saint-kitts-and-nevis,2003,21 Apr,Monday,Easter Monday,Public Holiday
saint-kitts-and-nevis,2003,5 May,Monday,Labor Day / May Day,Public Holiday
saint-kitts-and-nevis,2003,9 Jun,Monday,Whit Monday,Public Holiday
saint-kitts-and-nevis,2003,21 Jun,Saturday,June Solstice,Season
saint-kitts-and-nevis,2003,4 Aug,Monday,Emancipation Day,Public Holiday
saint-kitts-and-nevis,2003,5 Aug,Tuesday,Culturama Day,Public Holiday
saint-kitts-and-nevis,2003,16 Sep,Tuesday,National Heroes Day,Public Holiday
saint-kitts-and-nevis,2003,19 Sep,Friday,Independence Day,Public Holiday
saint-kitts-and-nevis,2003,23 Sep,Tuesday,September Equinox,Season
saint-kitts-and-nevis,2003,22 Dec,Monday,December Solstice,Season
saint-kitts-and-nevis,2003,25 Dec,Thursday,Christmas Day,Public Holiday
saint-kitts-and-nevis,2003,26 Dec,Friday,Boxing Day,Public Holiday
saint-kitts-and-nevis,2004,1 Jan,Thursday,New Year's Day,Public Holiday
saint-kitts-and-nevis,2004,2 Jan,Friday,Carnival Day,Public Holiday
saint-kitts-and-nevis,2004,20 Mar,Saturday,March Equinox,Season
saint-kitts-and-nevis,2004,9 Apr,Friday,Good Friday,Public Holiday
saint-kitts-and-nevis,2004,12 Apr,Monday,Easter Monday,Public Holiday
saint-kitts-and-nevis,2004,3 May,Monday,Labor Day / May Day,Public Holiday
