Geo,Event Year,Date,Day,Name,Type
saint-lucia,2000,1 Jan,Saturday,New Year's Day,Public Holiday
saint-lucia,2000,2 Jan,Sunday,New Year holiday,Public Holiday
saint-lucia,2000,22 Feb,Tuesday,Independence Day,Public Holiday
saint-lucia,2000,20 Mar,Monday,March Equinox,Season
saint-lucia,2000,21 Apr,Friday,Good Friday,Public Holiday
saint-lucia,2000,24 Apr,Monday,Easter Monday,Public Holiday
saint-lucia,2000,1 May,Monday,Labor Day / May Day,Public Holiday
saint-lucia,2000,12 Jun,Monday,Whit Monday,Public Holiday
saint-lucia,2000,20 Jun,Tuesday,June Solstice,Season
saint-lucia,2000,22 Jun,Thursday,Corpus Christi,Public Holiday
saint-lucia,2000,1 Aug,Tuesday,Emancipation Day,Public Holiday
saint-lucia,2000,22 Sep,Friday,September Equinox,Season
saint-lucia,2000,2 Oct,Monday,Thanksgiving Day,Public Holiday
saint-lucia,2000,13 Dec,Wednesday,National Day,Public Holiday
saint-lucia,2000,21 Dec,Thursday,December Solstice,Season
saint-lucia,2000,25 Dec,Monday,Christmas Day,Public Holiday
saint-lucia,2000,26 Dec,Tuesday,Boxing Day,Public Holiday
saint-lucia,2001,1 Jan,Monday,New Year's Day,Public Holiday
saint-lucia,2001,2 Jan,Tuesday,New Year holiday,Public Holiday
saint-lucia,2001,22 Feb,Thursday,Independence Day,Public Holiday
saint-lucia,2001,20 Mar,Tuesday,March Equinox,Season
saint-lucia,2001,13 Apr,Friday,Good Friday,Public Holiday
saint-lucia,2001,16 Apr,Monday,Easter Monday,Public Holiday
saint-lucia,2001,1 May,Tuesday,Labor Day / May Day,Public Holiday
saint-lucia,2001,4 Jun,Monday,Whit Monday,Public Holiday
saint-lucia,2001,14 Jun,Thursday,Corpus Christi,Public Holiday
saint-lucia,2001,21 Jun,Thursday,June Solstice,Season
saint-lucia,2001,1 Aug,Wednesday,Emancipation Day,Public Holiday
saint-lucia,2001,22 Sep,Saturday,September Equinox,Season
saint-lucia,2001,1 Oct,Monday,Thanksgiving Day,Public Holiday
saint-lucia,2001,13 Dec,Thursday,National Day,Public Holiday
saint-lucia,2001,21 Dec,Friday,December Solstice,Season
saint-lucia,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
saint-lucia,2001,26 Dec,Wednesday,Boxing Day,Public Holiday
saint-lucia,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
saint-lucia,2002,2 Jan,Wednesday,New Year holiday,Public Holiday
saint-lucia,2002,22 Feb,Friday,Independence Day,Public Holiday
saint-lucia,2002,20 Mar,Wednesday,March Equinox,Season
saint-lucia,2002,29 Mar,Friday,Good Friday,Public Holiday
saint-lucia,2002,1 Apr,Monday,Easter Monday,Public Holiday
saint-lucia,2002,1 May,Wednesday,Labor Day / May Day,Public Holiday
saint-lucia,2002,20 May,Monday,Whit Monday,Public Holiday
saint-lucia,2002,30 May,Thursday,Corpus Christi,Public Holiday
saint-lucia,2002,21 Jun,Friday,June Solstice,Season
saint-lucia,2002,1 Aug,Thursday,Emancipation Day,Public Holiday
saint-lucia,2002,23 Sep,Monday,September Equinox,Season
saint-lucia,2002,7 Oct,Monday,Thanksgiving Day,Public Holiday
saint-lucia,2002,13 Dec,Friday,National Day,Public Holiday
saint-lucia,2002,21 Dec,Saturday,December Solstice,Season
saint-lucia,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
saint-lucia,2002,26 Dec,Thursday,Boxing Day,Public Holiday
saint-lucia,2003,1 Jan,Wednesday,New Year's Day,Public Holiday
saint-lucia,2003,2 Jan,Thursday,New Year holiday,Public Holiday
saint-lucia,2003,22 Feb,Saturday,Independence Day,Public Holiday
saint-lucia,2003,20 Mar,Thursday,March Equinox,Season
saint-lucia,2003,18 Apr,Friday,Good Friday,Public Holiday
saint-lucia,2003,21 Apr,Monday,Easter Monday,Public Holiday
saint-lucia,2003,1 May,Thursday,Labor Day / May Day,Public Holiday
