Geo,Event Year,Date,Day,Name,Type
saint-vincent-and-the-grenadines,2000,1 Jan,Saturday,New Year's Day,Public Holiday
saint-vincent-and-the-grenadines,2000,3 Jan,Monday,Day off for New Year's Day,Public Holiday
saint-vincent-and-the-grenadines,2000,14 Mar,Tuesday,National Heroes Day,Public Holiday
saint-vincent-and-the-grenadines,2000,20 Mar,Monday,March Equinox,Season
saint-vincent-and-the-grenadines,2000,21 Apr,Friday,Good Friday,Public Holiday
saint-vincent-and-the-grenadines,2000,24 Apr,Monday,Easter Monday,Public Holiday
saint-vincent-and-the-grenadines,2000,1 May,Monday,National Workers Day,Public Holiday
saint-vincent-and-the-grenadines,2000,12 Jun,Monday,Whit Monday,Public Holiday
saint-vincent-and-the-grenadines,2000,20 Jun,Tuesday,June Solstice,Season
saint-vincent-and-the-grenadines,2000,3 Jul,Monday,Carnival Monday,Public Holiday
saint-vincent-and-the-grenadines,2000,4 Jul,Tuesday,Carnival Tuesday,Public Holiday
saint-vincent-and-the-grenadines,2000,1 Aug,Tuesday,Emancipation Day,Public Holiday
saint-vincent-and-the-grenadines,2000,22 Sep,Friday,September Equinox,Season
saint-vincent-and-the-grenadines,2000,27 Oct,Friday,Independence Day,Public Holiday
saint-vincent-and-the-grenadines,2000,21 Dec,Thursday,December Solstice,Season
saint-vincent-and-the-grenadines,2000,25 Dec,Monday,Christmas Day,Public Holiday
saint-vincent-and-the-grenadines,2000,26 Dec,Tuesday,Boxing Day,Public Holiday
saint-vincent-and-the-grenadines,2001,1 Jan,Monday,New Year's Day,Public Holiday
saint-vincent-and-the-grenadines,2001,14 Mar,Wednesday,National Heroes Day,Public Holiday
saint-vincent-and-the-grenadines,2001,20 Mar,Tuesday,March Equinox,Season
saint-vincent-and-the-grenadines,2001,13 Apr,Friday,Good Friday,Public Holiday
saint-vincent-and-the-grenadines,2001,16 Apr,Monday,Easter Monday,Public Holiday
saint-vincent-and-the-grenadines,2001,1 May,Tuesday,National Workers Day,Public Holiday
saint-vincent-and-the-grenadines,2001,4 Jun,Monday,Whit Monday,Public Holiday
saint-vincent-and-the-grenadines,2001,21 Jun,Thursday,June Solstice,Season
saint-vincent-and-the-grenadines,2001,2 Jul,Monday,Carnival Monday,Public Holiday
saint-vincent-and-the-grenadines,2001,3 Jul,Tuesday,Carnival Tuesday,Public Holiday
saint-vincent-and-the-grenadines,2001,1 Aug,Wednesday,Emancipation Day,Public Holiday
saint-vincent-and-the-grenadines,2001,22 Sep,Saturday,September Equinox,Season
saint-vincent-and-the-grenadines,2001,27 Oct,Saturday,Independence Day,Public Holiday
saint-vincent-and-the-grenadines,2001,21 Dec,Friday,December Solstice,Season
saint-vincent-and-the-grenadines,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
saint-vincent-and-the-grenadines,2001,26 Dec,Wednesday,Boxing Day,Public Holiday
saint-vincent-and-the-grenadines,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
saint-vincent-and-the-grenadines,2002,14 Mar,Thursday,National Heroes Day,Public Holiday
saint-vincent-and-the-grenadines,2002,20 Mar,Wednesday,March Equinox,Season
saint-vincent-and-the-grenadines,2002,29 Mar,Friday,Good Friday,Public Holiday
saint-vincent-and-the-grenadines,2002,1 Apr,Monday,Easter Monday,Public Holiday
saint-vincent-and-the-grenadines,2002,1 May,Wednesday,National Workers Day,Public Holiday
saint-vincent-and-the-grenadines,2002,20 May,Monday,Whit Monday,Public Holiday
saint-vincent-and-the-grenadines,2002,21 Jun,Friday,June Solstice,Season
saint-vincent-and-the-grenadines,2002,1 Jul,Monday,Carnival Monday,Public Holiday
saint-vincent-and-the-grenadines,2002,2 Jul,Tuesday,Carnival Tuesday,Public Holiday
saint-vincent-and-the-grenadines,2002,1 Aug,Thursday,Emancipation Day,Public Holiday
saint-vincent-and-the-grenadines,2002,23 Sep,Monday,September Equinox,Season
saint-vincent-and-the-grenadines,2002,27 Oct,Sunday,Independence Day,Public Holiday
saint-vincent-and-the-grenadines,2002,21 Dec,Saturday,December Solstice,Season
saint-vincent-and-the-grenadines,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
saint-vincent-and-the-grenadines,2002,26 Dec,Thursday,Boxing Day,Public Holiday
saint-vincent-and-the-grenadines,2003,1 Jan,Wednesday,New Year's Day,Public Holiday
saint-vincent-and-the-grenadines,2003,14 Mar,Friday,National Heroes Day,Public Holiday
saint-vincent-and-the-grenadines,2003,20 Mar,Thursday,March Equinox,Season
saint-vincent-and-the-grenadines,2003,18 Apr,Friday,Good Friday,Public Holiday
saint-vincent-and-the-grenadines,2003,21 Apr,Monday,Easter Monday,Public Holiday
saint-vincent-and-the-grenadines,2003,1 May,Thursday,National Workers Day,Public Holiday
saint-vincent-and-the-grenadines,2003,9 Jun,Monday,Whit Monday,Public Holiday
saint-vincent-and-the-grenadines,2003,21 Jun,Saturday,June Solstice,Season
saint-vincent-and-the-grenadines,2003,7 Jul,Monday,Carnival Monday,Public Holiday
saint-vincent-and-the-grenadines,2003,8 Jul,Tuesday,Carnival Tuesday,Public Holiday
saint-vincent-and-the-grenadines,2003,1 Aug,Friday,Emancipation Day,Public Holiday
saint-vincent-and-the-grenadines,2003,23 Sep,Tuesday,September Equinox,Season
saint-vincent-and-the-grenadines,2003,27 Oct,Monday,Independence Day,Public Holiday
saint-vincent-and-the-grenadines,2003,22 Dec,Monday,December Solstice,Season
saint-vincent-and-the-grenadines,2003,25 Dec,Thursday,Christmas Day,Public Holiday
saint-vincent-and-the-grenadines,2003,26 Dec,Friday,Boxing Day,Public Holiday
saint-vincent-and-the-grenadines,2004,1 Jan,Thursday,New Year's Day,Public Holiday
saint-vincent-and-the-grenadines,2004,14 Mar,Sunday,National Heroes Day,Public Holiday
saint-vincent-and-the-grenadines,2004,20 Mar,Saturday,March Equinox,Season
saint-vincent-and-the-grenadines,2004,9 Apr,Friday,Good Friday,Public Holiday
saint-vincent-and-the-grenadines,2004,12 Apr,Monday,Easter Monday,Public Holiday
saint-vincent-and-the-grenadines,2004,1 May,Saturday,National Workers Day,Public Holiday
saint-vincent-and-the-grenadines,2004,31 May,Monday,Whit Monday,Public Holiday
saint-vincent-and-the-grenadines,2004,20 Jun,Sunday,June Solstice,Season
saint-vincent-and-the-grenadines,2004,5 Jul,Monday,Carnival Monday,Public Holiday
saint-vincent-and-the-grenadines,2004,6 Jul,Tuesday,Carnival Tuesday,Public Holiday
saint-vincent-and-the-grenadines,2004,1 Aug,Sunday,Emancipation Day,Public Holiday
saint-vincent-and-the-grenadines,2004,22 Sep,Wednesday,September Equinox,Season
saint-vincent-and-the-grenadines,2004,27 Oct,Wednesday,Independence Day,Public Holiday
saint-vincent-and-the-grenadines,2004,21 Dec,Tuesday,December Solstice,Season
saint-vincent-and-the-grenadines,2004,25 Dec,Saturday,Christmas Day,Public Holiday
saint-vincent-and-the-grenadines,2004,26 Dec,Sunday,Boxing Day,Public Holiday
saint-vincent-and-the-grenadines,2005,1 Jan,Saturday,New Year's Day,Public Holiday
saint-vincent-and-the-grenadines,2005,3 Jan,Monday,Day off for New Year's Day,Public Holiday
saint-vincent-and-the-grenadines,2005,14 Mar,Monday,National Heroes Day,Public Holiday
saint-vincent-and-the-grenadines,2005,20 Mar,Sunday,March Equinox,Season
saint-vincent-and-the-grenadines,2005,25 Mar,Friday,Good Friday,Public Holiday
saint-vincent-and-the-grenadines,2005,28 Mar,Monday,Easter Monday,Public Holiday
saint-vincent-and-the-grenadines,2005,1 May,Sunday,National Workers Day,Public Holiday
saint-vincent-and-the-grenadines,2005,16 May,Monday,Whit Monday,Public Holiday
saint-vincent-and-the-grenadines,2005,21 Jun,Tuesday,June Solstice,Season
saint-vincent-and-the-grenadines,2005,4 Jul,Monday,Carnival Monday,Public Holiday
saint-vincent-and-the-grenadines,2005,5 Jul,Tuesday,Carnival Tuesday,Public Holiday
saint-vincent-and-the-grenadines,2005,1 Aug,Monday,Emancipation Day,Public Holiday
saint-vincent-and-the-grenadines,2005,22 Sep,Thursday,September Equinox,Season
saint-vincent-and-the-grenadines,2005,27 Oct,Thursday,Independence Day,Public Holiday
saint-vincent-and-the-grenadines,2005,21 Dec,Wednesday,December Solstice,Season
saint-vincent-and-the-grenadines,2005,25 Dec,Sunday,Christmas Day,Public Holiday
saint-vincent-and-the-grenadines,2005,26 Dec,Monday,Boxing Day,Public Holiday
saint-vincent-and-the-grenadines,2006,1 Jan,Sunday,New Year's Day,Public Holiday
saint-vincent-and-the-grenadines,2006,2 Jan,Monday,Day off for New Year's Day,Public Holiday
saint-vincent-and-the-grenadines,2006,14 Mar,Tuesday,National Heroes Day,Public Holiday
saint-vincent-and-the-grenadines,2006,20 Mar,Monday,March Equinox,Season
saint-vincent-and-the-grenadines,2006,14 Apr,Friday,Good Friday,Public Holiday
saint-vincent-and-the-grenadines,2006,17 Apr,Monday,Easter Monday,Public Holiday
saint-vincent-and-the-grenadines,2006,1 May,Monday,National Workers Day,Public Holiday
saint-vincent-and-the-grenadines,2006,5 Jun,Monday,Whit Monday,Public Holiday
