Geo,Event Year,Date,Day,Name,Type
san-marino,2005,1 Jan,Saturday,New Year's Day,National holiday
san-marino,2005,6 Jan,Thursday,Epiphany,National holiday
san-marino,2005,5 Feb,Saturday,Feast of St Agatha,National holiday
san-marino,2005,15 Mar,Tuesday,Mothers' Day,Observance
san-marino,2005,19 Mar,Saturday,Fathers' Day,Observance
san-marino,2005,20 Mar,Sunday,March Equinox,Season
san-marino,2005,25 Mar,Friday,Anniversary of the Arengo,National holiday
san-marino,2005,25 Mar,Friday,Good Friday,Observance
san-marino,2005,26 Mar,Saturday,Holy Saturday,Observance
san-marino,2005,27 Mar,Sunday,Easter Sunday,National holiday
san-marino,2005,27 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
san-marino,2005,28 Mar,Monday,Easter Monday,National holiday
san-marino,2005,1 Apr,Friday,Investiture Ceremony of the Captains Regent 1,National holiday
san-marino,2005,1 May,Sunday,Labour Day/May Day,National holiday
san-marino,2005,26 May,Thursday,Corpus Christi,National holiday
san-marino,2005,21 Jun,Tuesday,June Solstice,Season
san-marino,2005,28 Jul,Thursday,Anniversary of the Fall of the Fascist Government,National holiday
san-marino,2005,15 Aug,Monday,Assumption of Mary,National holiday
san-marino,2005,3 Sep,Saturday,The Feast of St Marinus and Republic Day,National holiday
san-marino,2005,23 Sep,Friday,September Equinox,Season
san-marino,2005,1 Oct,Saturday,Investiture Ceremony of the Captains Regent 2,National holiday
san-marino,2005,30 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
san-marino,2005,1 Nov,Tuesday,All Saints' Day,National holiday
san-marino,2005,2 Nov,Wednesday,All Souls' Day,National holiday
san-marino,2005,8 Dec,Thursday,Feast of the Immaculate Conception,National holiday
san-marino,2005,21 Dec,Wednesday,December Solstice,Season
san-marino,2005,24 Dec,Saturday,Christmas Eve,Observance
san-marino,2005,25 Dec,Sunday,Christmas Day,National holiday
san-marino,2005,26 Dec,Monday,Boxing Day,National holiday
san-marino,2005,31 Dec,Saturday,New Year's Eve,Observance
san-marino,2006,1 Jan,Sunday,New Year's Day,National holiday
san-marino,2006,6 Jan,Friday,Epiphany,National holiday
san-marino,2006,5 Feb,Sunday,Feast of St Agatha,National holiday
