Geo,Event Year,Date,Day,Name,Type
sao-tome-and-principe,2014,1 Jan,Wednesday,New Year,Public Holiday
sao-tome-and-principe,2014,4 Jan,Saturday,Day of King Amador,Public Holiday
sao-tome-and-principe,2014,3 Feb,Monday,Commemoration of the Batepá Massacre,Public Holiday
sao-tome-and-principe,2014,20 Mar,Thursday,March Equinox,Season
sao-tome-and-principe,2014,1 May,Thursday,Labour Day,Public Holiday
sao-tome-and-principe,2014,21 Jun,Saturday,June Solstice,Season
sao-tome-and-principe,2014,12 Jul,Saturday,Independence Day,Public Holiday
sao-tome-and-principe,2014,6 Sep,Saturday,Armed Forces' Day,Public Holiday
sao-tome-and-principe,2014,23 Sep,Tuesday,September Equinox,Season
sao-tome-and-principe,2014,30 Sep,Tuesday,Nationalization of the Roças,Public Holiday
sao-tome-and-principe,2014,21 Dec,Sunday,December Solstice,Season
sao-tome-and-principe,2014,25 Dec,Thursday,Christmas Day,Public Holiday
sao-tome-and-principe,2015,1 Jan,Thursday,New Year,Public Holiday
sao-tome-and-principe,2015,4 Jan,Sunday,Day of King Amador,Public Holiday
sao-tome-and-principe,2015,3 Feb,Tuesday,Commemoration of the Batepá Massacre,Public Holiday
sao-tome-and-principe,2015,20 Mar,Friday,March Equinox,Season
sao-tome-and-principe,2015,1 May,Friday,Labour Day,Public Holiday
sao-tome-and-principe,2015,21 Jun,Sunday,June Solstice,Season
sao-tome-and-principe,2015,12 Jul,Sunday,Independence Day,Public Holiday
sao-tome-and-principe,2015,6 Sep,Sunday,Armed Forces' Day,Public Holiday
sao-tome-and-principe,2015,23 Sep,Wednesday,September Equinox,Season
sao-tome-and-principe,2015,30 Sep,Wednesday,Nationalization of the Roças,Public Holiday
sao-tome-and-principe,2015,22 Dec,Tuesday,December Solstice,Season
sao-tome-and-principe,2015,25 Dec,Friday,Christmas Day,Public Holiday
sao-tome-and-principe,2016,1 Jan,Friday,New Year,Public Holiday
sao-tome-and-principe,2016,4 Jan,Monday,Day of King Amador,Public Holiday
sao-tome-and-principe,2016,3 Feb,Wednesday,Commemoration of the Batepá Massacre,Public Holiday
sao-tome-and-principe,2016,20 Mar,Sunday,March Equinox,Season
sao-tome-and-principe,2016,1 May,Sunday,Labour Day,Public Holiday
sao-tome-and-principe,2016,20 Jun,Monday,June Solstice,Season
sao-tome-and-principe,2016,12 Jul,Tuesday,Independence Day,Public Holiday
sao-tome-and-principe,2016,6 Sep,Tuesday,Armed Forces' Day,Public Holiday
sao-tome-and-principe,2016,22 Sep,Thursday,September Equinox,Season
sao-tome-and-principe,2016,30 Sep,Friday,Nationalization of the Roças,Public Holiday
sao-tome-and-principe,2016,21 Dec,Wednesday,December Solstice,Season
