Geo,Event Year,Date,Day,Name,Type
senegal,2000,1 Jan,Saturday,New Year,Public Holiday
senegal,2000,8 Jan,Saturday,Korité,Public Holiday
senegal,2000,16 Mar,Thursday,Tabaski,Public Holiday
senegal,2000,20 Mar,Monday,March Equinox,Season
senegal,2000,4 Apr,Tuesday,Independence Day,Public Holiday
senegal,2000,15 Apr,Saturday,Tamkharit,Public Holiday
senegal,2000,24 Apr,Monday,Easter Monday,Public Holiday
senegal,2000,1 May,Monday,Labour Day,Public Holiday
senegal,2000,28 May,Sunday,Mother's Day,Observance
senegal,2000,1 Jun,Thursday,Ascension Day,Public Holiday
senegal,2000,12 Jun,Monday,Whit Monday,Public Holiday
senegal,2000,15 Jun,Thursday,Maouloud,Public Holiday
senegal,2000,18 Jun,Sunday,Father's Day,Observance
senegal,2000,21 Jun,Wednesday,June Solstice,Season
senegal,2000,15 Aug,Tuesday,Assumption of Mary,Public Holiday
senegal,2000,22 Sep,Friday,September Equinox,Season
senegal,2000,1 Nov,Wednesday,All Saints' Day,Public Holiday
senegal,2000,21 Dec,Thursday,December Solstice,Season
senegal,2000,25 Dec,Monday,Christmas Day,Public Holiday
senegal,2000,28 Dec,Thursday,Korité,Public Holiday
senegal,2001,1 Jan,Monday,New Year,Public Holiday
senegal,2001,6 Mar,Tuesday,Tabaski,Public Holiday
senegal,2001,20 Mar,Tuesday,March Equinox,Season
senegal,2001,4 Apr,Wednesday,Tamkharit,Public Holiday
senegal,2001,4 Apr,Wednesday,Independence Day,Public Holiday
senegal,2001,16 Apr,Monday,Easter Monday,Public Holiday
senegal,2001,1 May,Tuesday,Labour Day,Public Holiday
senegal,2001,24 May,Thursday,Ascension Day,Public Holiday
senegal,2001,27 May,Sunday,Mother's Day,Observance
senegal,2001,4 Jun,Monday,Whit Monday,Public Holiday
senegal,2001,4 Jun,Monday,Maouloud,Public Holiday
senegal,2001,17 Jun,Sunday,Father's Day,Observance
senegal,2001,21 Jun,Thursday,June Solstice,Season
senegal,2001,15 Aug,Wednesday,Assumption of Mary,Public Holiday
senegal,2001,22 Sep,Saturday,September Equinox,Season
senegal,2001,1 Nov,Thursday,All Saints' Day,Public Holiday
senegal,2001,17 Dec,Monday,Korité,Public Holiday
senegal,2001,21 Dec,Friday,December Solstice,Season
senegal,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
senegal,2002,1 Jan,Tuesday,New Year,Public Holiday
senegal,2002,23 Feb,Saturday,Tabaski,Public Holiday
senegal,2002,20 Mar,Wednesday,March Equinox,Season
senegal,2002,24 Mar,Sunday,Tamkharit,Public Holiday
senegal,2002,1 Apr,Monday,Easter Monday,Public Holiday
senegal,2002,4 Apr,Thursday,Independence Day,Public Holiday
senegal,2002,1 May,Wednesday,Labour Day,Public Holiday
senegal,2002,9 May,Thursday,Ascension Day,Public Holiday
senegal,2002,20 May,Monday,Whit Monday,Public Holiday
senegal,2002,24 May,Friday,Maouloud,Public Holiday
senegal,2002,26 May,Sunday,Mother's Day,Observance
senegal,2002,16 Jun,Sunday,Father's Day,Observance
senegal,2002,21 Jun,Friday,June Solstice,Season
senegal,2002,15 Aug,Thursday,Assumption of Mary,Public Holiday
senegal,2002,23 Sep,Monday,September Equinox,Season
senegal,2002,1 Nov,Friday,All Saints' Day,Public Holiday
senegal,2002,6 Dec,Friday,Korité,Public Holiday
senegal,2002,22 Dec,Sunday,December Solstice,Season
senegal,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
senegal,2003,1 Jan,Wednesday,New Year,Public Holiday
senegal,2003,12 Feb,Wednesday,Tabaski,Public Holiday
senegal,2003,14 Mar,Friday,Tamkharit,Public Holiday
senegal,2003,21 Mar,Friday,March Equinox,Season
senegal,2003,4 Apr,Friday,Independence Day,Public Holiday
senegal,2003,21 Apr,Monday,Easter Monday,Public Holiday
senegal,2003,1 May,Thursday,Labour Day,Public Holiday
senegal,2003,14 May,Wednesday,Maouloud,Public Holiday
senegal,2003,25 May,Sunday,Mother's Day,Observance
senegal,2003,29 May,Thursday,Ascension Day,Public Holiday
senegal,2003,9 Jun,Monday,Whit Monday,Public Holiday
senegal,2003,15 Jun,Sunday,Father's Day,Observance
senegal,2003,21 Jun,Saturday,June Solstice,Season
senegal,2003,15 Aug,Friday,Assumption of Mary,Public Holiday
senegal,2003,23 Sep,Tuesday,September Equinox,Season
senegal,2003,1 Nov,Saturday,All Saints' Day,Public Holiday
