Geo,Event Year,Date,Day,Name,Type
serbia,2001,1 Jan,Monday,Western New Year's Day,National holiday
serbia,2001,2 Jan,Tuesday,Second Day of Western New Year's Day,National holiday
serbia,2001,7 Jan,Sunday,Christmas Day,"National holiday, Orthodox"
serbia,2001,14 Jan,Sunday,New Year,"Observance, Orthodox"
serbia,2001,27 Jan,Saturday,Spirituality Day/St Sava's Day,Observance
serbia,2001,15 Feb,Thursday,National Day of Serbia,Common local holiday
serbia,2001,16 Feb,Friday,Statehood Day of the Republic of Serbia (Day 2),National holiday
serbia,2001,20 Mar,Tuesday,March Equinox,Season
serbia,2001,13 Apr,Friday,Good Friday,"National holiday, Orthodox"
serbia,2001,14 Apr,Saturday,Holy Saturday,"National holiday, Orthodox"
serbia,2001,15 Apr,Sunday,Easter Day,"National holiday, Orthodox"
serbia,2001,16 Apr,Monday,Easter Monday,"National holiday, Orthodox"
serbia,2001,27 Apr,Friday,Constitution Day,National holiday
serbia,2001,1 May,Tuesday,Labor holiday,National holiday
serbia,2001,2 May,Wednesday,Labor Day Holiday,National holiday
serbia,2001,9 May,Wednesday,Victory Day,Observance
serbia,2001,21 Jun,Thursday,June Solstice,Season
serbia,2001,28 Jun,Thursday,St Vitus' Day,Observance
serbia,2001,13 Jul,Friday,National Day of Montenegro,Common local holiday
serbia,2001,23 Sep,Sunday,September Equinox,Season
serbia,2001,21 Dec,Friday,December Solstice,Season
serbia,2001,23 Dec,Sunday,Mothers' Day,"Observance, Orthodox"
serbia,2001,30 Dec,Sunday,Fathers' Day,"Observance, Orthodox"
serbia,2001,31 Dec,Monday,Western New Year's Eve,Observance
serbia,2002,1 Jan,Tuesday,Western New Year's Day,National holiday
serbia,2002,2 Jan,Wednesday,Second Day of Western New Year's Day,National holiday
serbia,2002,7 Jan,Monday,Christmas Day,"National holiday, Orthodox"
serbia,2002,14 Jan,Monday,New Year,"Observance, Orthodox"
serbia,2002,27 Jan,Sunday,Spirituality Day/St Sava's Day,Observance
serbia,2002,15 Feb,Friday,National Day of Serbia,Common local holiday
serbia,2002,16 Feb,Saturday,Statehood Day of the Republic of Serbia (Day 2),National holiday
serbia,2002,20 Mar,Wednesday,March Equinox,Season
serbia,2002,27 Apr,Saturday,Constitution Day,National holiday
serbia,2002,1 May,Wednesday,Labor holiday,National holiday
serbia,2002,2 May,Thursday,Labor Day Holiday,National holiday
serbia,2002,3 May,Friday,Good Friday,"National holiday, Orthodox"
serbia,2002,4 May,Saturday,Holy Saturday,"National holiday, Orthodox"
serbia,2002,5 May,Sunday,Easter Day,"National holiday, Orthodox"
serbia,2002,6 May,Monday,Easter Monday,"National holiday, Orthodox"
serbia,2002,9 May,Thursday,Victory Day,Observance
serbia,2002,21 Jun,Friday,June Solstice,Season
serbia,2002,28 Jun,Friday,St Vitus' Day,Observance
serbia,2002,13 Jul,Saturday,National Day of Montenegro,Common local holiday
serbia,2002,23 Sep,Monday,September Equinox,Season
