Geo,Event Year,Date,Day,Name,Type
sierra-leone,2015,1 Jan,Thursday,New Year,Public Holiday
sierra-leone,2015,3 Jan,Saturday,The Prophet's Birthday,Public Holiday
sierra-leone,2015,18 Feb,Wednesday,Armed Forces Day,Public Holiday
sierra-leone,2015,8 Mar,Sunday,International Women's Day,Public Holiday
sierra-leone,2015,9 Mar,Monday,Day off for International Women's Day,Public Holiday
sierra-leone,2015,20 Mar,Friday,March Equinox,Season
sierra-leone,2015,3 Apr,Friday,Good Friday,Public Holiday
sierra-leone,2015,6 Apr,Monday,Easter Monday,Public Holiday
sierra-leone,2015,27 Apr,Monday,Independence Day,Public Holiday
sierra-leone,2015,21 Jun,Sunday,June Solstice,Season
sierra-leone,2015,18 Jul,Saturday,Eid al-Fitr,Public Holiday
sierra-leone,2015,23 Sep,Wednesday,September Equinox,Season
sierra-leone,2015,24 Sep,Thursday,Tabaski,Public Holiday
sierra-leone,2015,22 Dec,Tuesday,December Solstice,Season
sierra-leone,2015,24 Dec,Thursday,The Prophet's Birthday,Public Holiday
sierra-leone,2015,25 Dec,Friday,Christmas Day,Public Holiday
sierra-leone,2015,26 Dec,Saturday,Boxing Day,Public Holiday
sierra-leone,2016,1 Jan,Friday,New Year,Public Holiday
sierra-leone,2016,18 Feb,Thursday,Armed Forces Day,Public Holiday
sierra-leone,2016,8 Mar,Tuesday,International Women's Day,Public Holiday
sierra-leone,2016,20 Mar,Sunday,March Equinox,Season
sierra-leone,2016,25 Mar,Friday,Good Friday,Public Holiday
sierra-leone,2016,28 Mar,Monday,Easter Monday,Public Holiday
sierra-leone,2016,27 Apr,Wednesday,Independence Day,Public Holiday
sierra-leone,2016,20 Jun,Monday,June Solstice,Season
sierra-leone,2016,7 Jul,Thursday,Eid al-Fitr,Public Holiday
sierra-leone,2016,13 Sep,Tuesday,Tabaski,Public Holiday
sierra-leone,2016,22 Sep,Thursday,September Equinox,Season
sierra-leone,2016,12 Dec,Monday,The Prophet's Birthday,Public Holiday
sierra-leone,2016,21 Dec,Wednesday,December Solstice,Season
sierra-leone,2016,25 Dec,Sunday,Christmas Day,Public Holiday
sierra-leone,2016,26 Dec,Monday,Boxing Day,Public Holiday
sierra-leone,2016,27 Dec,Tuesday,Day off for Christmas Day,Public Holiday
sierra-leone,2017,1 Jan,Sunday,New Year,Public Holiday
sierra-leone,2017,2 Jan,Monday,Day off for New Year,Public Holiday
sierra-leone,2017,18 Feb,Saturday,Armed Forces Day,Public Holiday
sierra-leone,2017,8 Mar,Wednesday,International Women's Day,Public Holiday
sierra-leone,2017,20 Mar,Monday,March Equinox,Season
sierra-leone,2017,14 Apr,Friday,Good Friday,Public Holiday
sierra-leone,2017,17 Apr,Monday,Easter Monday,Public Holiday
sierra-leone,2017,27 Apr,Thursday,Independence Day,Public Holiday
sierra-leone,2017,21 Jun,Wednesday,June Solstice,Season
sierra-leone,2017,26 Jun,Monday,Eid al-Fitr,Public Holiday
sierra-leone,2017,2 Sep,Saturday,Tabaski,Public Holiday
sierra-leone,2017,22 Sep,Friday,September Equinox,Season
sierra-leone,2017,1 Dec,Friday,The Prophet's Birthday,Public Holiday
sierra-leone,2017,21 Dec,Thursday,December Solstice,Season
sierra-leone,2017,25 Dec,Monday,Christmas Day,Public Holiday
sierra-leone,2017,26 Dec,Tuesday,Boxing Day,Public Holiday
sierra-leone,2018,1 Jan,Monday,New Year,Public Holiday
sierra-leone,2018,18 Feb,Sunday,Armed Forces Day,Public Holiday
sierra-leone,2018,19 Feb,Monday,Day off for Armed Forces Day,Public Holiday
sierra-leone,2018,8 Mar,Thursday,International Women's Day,Public Holiday
sierra-leone,2018,20 Mar,Tuesday,March Equinox,Season
sierra-leone,2018,30 Mar,Friday,Good Friday,Public Holiday
sierra-leone,2018,2 Apr,Monday,Easter Monday,Public Holiday
sierra-leone,2018,27 Apr,Friday,Independence Day,Public Holiday
sierra-leone,2018,15 Jun,Friday,Eid al-Fitr,Public Holiday
sierra-leone,2018,21 Jun,Thursday,June Solstice,Season
sierra-leone,2018,22 Aug,Wednesday,Tabaski,Public Holiday
sierra-leone,2018,23 Sep,Sunday,September Equinox,Season
sierra-leone,2018,21 Nov,Wednesday,The Prophet's Birthday,Public Holiday
sierra-leone,2018,21 Dec,Friday,December Solstice,Season
sierra-leone,2018,25 Dec,Tuesday,Christmas Day,Public Holiday
sierra-leone,2018,26 Dec,Wednesday,Boxing Day,Public Holiday
sierra-leone,2019,1 Jan,Tuesday,New Year,Public Holiday
sierra-leone,2019,18 Feb,Monday,Armed Forces Day,Public Holiday
sierra-leone,2019,8 Mar,Friday,International Women's Day,Public Holiday
sierra-leone,2019,20 Mar,Wednesday,March Equinox,Season
sierra-leone,2019,19 Apr,Friday,Good Friday,Public Holiday
sierra-leone,2019,22 Apr,Monday,Easter Monday,Public Holiday
sierra-leone,2019,27 Apr,Saturday,Independence Day,Public Holiday
sierra-leone,2019,1 May,Wednesday,International Worker’s Day,Public Holiday
sierra-leone,2019,4 Jun,Tuesday,Eid al-Fitr,Public Holiday
sierra-leone,2019,21 Jun,Friday,June Solstice,Season
sierra-leone,2019,12 Aug,Monday,Tabaski,Public Holiday
sierra-leone,2019,23 Sep,Monday,September Equinox,Season
sierra-leone,2019,10 Nov,Sunday,The Prophet's Birthday,Public Holiday
sierra-leone,2019,11 Nov,Monday,Day off for The Prophet's Birthday,Public Holiday
sierra-leone,2019,22 Dec,Sunday,December Solstice,Season
sierra-leone,2019,25 Dec,Wednesday,Christmas Day,Public Holiday
sierra-leone,2019,26 Dec,Thursday,Boxing Day,Public Holiday
sierra-leone,2020,1 Jan,Wednesday,New Year,Public Holiday
sierra-leone,2020,18 Feb,Tuesday,Armed Forces Day,Public Holiday
sierra-leone,2020,8 Mar,Sunday,International Women's Day,Public Holiday
sierra-leone,2020,9 Mar,Monday,Day off for International Women's Day,Public Holiday
sierra-leone,2020,20 Mar,Friday,March Equinox,Season
sierra-leone,2020,10 Apr,Friday,Good Friday,Public Holiday
sierra-leone,2020,13 Apr,Monday,Easter Monday,Public Holiday
sierra-leone,2020,27 Apr,Monday,Independence Day,Public Holiday
sierra-leone,2020,1 May,Friday,International Worker’s Day,Public Holiday
sierra-leone,2020,24 May,Sunday,Eid al-Fitr,Public Holiday
sierra-leone,2020,25 May,Monday,Day off for Eid al-Fitr,Public Holiday
sierra-leone,2020,20 Jun,Saturday,June Solstice,Season
sierra-leone,2020,31 Jul,Friday,Tabaski,Public Holiday
sierra-leone,2020,22 Sep,Tuesday,September Equinox,Season
sierra-leone,2020,29 Oct,Thursday,The Prophet's Birthday,Public Holiday
sierra-leone,2020,21 Dec,Monday,December Solstice,Season
sierra-leone,2020,25 Dec,Friday,Christmas Day,Public Holiday
sierra-leone,2020,26 Dec,Saturday,Boxing Day,Public Holiday
sierra-leone,2021,1 Jan,Friday,New Year,Public Holiday
sierra-leone,2021,18 Feb,Thursday,Armed Forces Day,Public Holiday
sierra-leone,2021,8 Mar,Monday,International Women's Day,Public Holiday
sierra-leone,2021,20 Mar,Saturday,March Equinox,Season
sierra-leone,2021,2 Apr,Friday,Good Friday,Public Holiday
sierra-leone,2021,5 Apr,Monday,Easter Monday,Public Holiday
sierra-leone,2021,27 Apr,Tuesday,Independence Day,Public Holiday
sierra-leone,2021,1 May,Saturday,International Worker’s Day,Public Holiday
sierra-leone,2021,13 May,Thursday,Eid al-Fitr,Public Holiday
sierra-leone,2021,21 Jun,Monday,June Solstice,Season
sierra-leone,2021,20 Jul,Tuesday,Tabaski,Public Holiday
sierra-leone,2021,22 Sep,Wednesday,September Equinox,Season
sierra-leone,2021,18 Oct,Monday,The Prophet's Birthday,Public Holiday
sierra-leone,2021,21 Dec,Tuesday,December Solstice,Season
sierra-leone,2021,25 Dec,Saturday,Christmas Day,Public Holiday
sierra-leone,2021,26 Dec,Sunday,Boxing Day,Public Holiday
sierra-leone,2021,27 Dec,Monday,Day off for Boxing Day,Public Holiday
sierra-leone,2022,1 Jan,Saturday,New Year,Public Holiday
sierra-leone,2022,3 Jan,Monday,Day off for New Year,Public Holiday
sierra-leone,2022,18 Feb,Friday,Armed Forces Day,Public Holiday
sierra-leone,2022,8 Mar,Tuesday,International Women's Day,Public Holiday
sierra-leone,2022,20 Mar,Sunday,March Equinox,Season
sierra-leone,2022,15 Apr,Friday,Good Friday,Public Holiday
sierra-leone,2022,18 Apr,Monday,Easter Monday,Public Holiday
sierra-leone,2022,27 Apr,Wednesday,Independence Day,Public Holiday
sierra-leone,2022,1 May,Sunday,International Worker’s Day,Public Holiday
sierra-leone,2022,2 May,Monday,Eid al-Fitr,Public Holiday
sierra-leone,2022,2 May,Monday,International Worker’s Day observed,Public Holiday
sierra-leone,2022,21 Jun,Tuesday,June Solstice,Season
sierra-leone,2022,9 Jul,Saturday,Tabaski,Public Holiday
sierra-leone,2022,11 Jul,Monday,Day off for Tabaski,Public Holiday
sierra-leone,2022,23 Sep,Friday,September Equinox,Season
sierra-leone,2022,8 Oct,Saturday,The Prophet's Birthday,Public Holiday
sierra-leone,2022,10 Oct,Monday,Day off for The Prophet's Birthday,Public Holiday
sierra-leone,2022,21 Dec,Wednesday,December Solstice,Season
sierra-leone,2022,25 Dec,Sunday,Christmas Day,Public Holiday
sierra-leone,2022,26 Dec,Monday,Boxing Day,Public Holiday
sierra-leone,2022,27 Dec,Tuesday,Day off for Christmas Day,Public Holiday
sierra-leone,2023,1 Jan,Sunday,New Year,Public Holiday
sierra-leone,2023,2 Jan,Monday,Day off for New Year,Public Holiday
sierra-leone,2023,18 Feb,Saturday,Armed Forces Day,Public Holiday
sierra-leone,2023,22 Feb,Wednesday,Day off for Armed Forces Day,Public Holiday
sierra-leone,2023,8 Mar,Wednesday,International Women's Day,Public Holiday
sierra-leone,2023,20 Mar,Monday,March Equinox,Season
sierra-leone,2023,23 Mar,Thursday,Ramadan Start,Observance
sierra-leone,2023,7 Apr,Friday,Good Friday,Public Holiday
sierra-leone,2023,10 Apr,Monday,Easter Monday,Public Holiday
sierra-leone,2023,21 Apr,Friday,Eid al-Fitr,Public Holiday
sierra-leone,2023,27 Apr,Thursday,Independence Day,Public Holiday
sierra-leone,2023,1 May,Monday,International Worker’s Day,Public Holiday
sierra-leone,2023,21 Jun,Wednesday,June Solstice,Season
sierra-leone,2023,28 Jun,Wednesday,Tabaski,Public Holiday
sierra-leone,2023,23 Sep,Saturday,September Equinox,Season
sierra-leone,2023,27 Sep,Wednesday,The Prophet's Birthday,Public Holiday
sierra-leone,2023,22 Dec,Friday,December Solstice,Season
sierra-leone,2023,25 Dec,Monday,Christmas Day,Public Holiday
sierra-leone,2023,26 Dec,Tuesday,Boxing Day,Public Holiday
sierra-leone,2024,1 Jan,Monday,New Year,Public Holiday
sierra-leone,2024,18 Feb,Sunday,Armed Forces Day,Public Holiday
sierra-leone,2024,19 Feb,Monday,Day off for Armed Forces Day,Public Holiday
sierra-leone,2024,8 Mar,Friday,International Women's Day,Public Holiday
sierra-leone,2024,11 Mar,Monday,Ramadan Start,Observance
sierra-leone,2024,20 Mar,Wednesday,March Equinox,Season
sierra-leone,2024,29 Mar,Friday,Good Friday,Public Holiday
sierra-leone,2024,1 Apr,Monday,Easter Monday,Public Holiday
sierra-leone,2024,10 Apr,Wednesday,Eid al-Fitr (Tentative Date),Public Holiday
sierra-leone,2024,27 Apr,Saturday,Independence Day,Public Holiday
sierra-leone,2024,1 May,Wednesday,International Worker’s Day,Public Holiday
sierra-leone,2024,17 Jun,Monday,Tabaski (Tentative Date),Public Holiday
sierra-leone,2024,20 Jun,Thursday,June Solstice,Season
sierra-leone,2024,16 Sep,Monday,The Prophet's Birthday (Tentative Date),Public Holiday
sierra-leone,2024,22 Sep,Sunday,September Equinox,Season
sierra-leone,2024,21 Dec,Saturday,December Solstice,Season
sierra-leone,2024,25 Dec,Wednesday,Christmas Day,Public Holiday
sierra-leone,2024,26 Dec,Thursday,Boxing Day,Public Holiday
sierra-leone,2025,1 Jan,Wednesday,New Year,Public Holiday
sierra-leone,2025,18 Feb,Tuesday,Armed Forces Day,Public Holiday
sierra-leone,2025,1 Mar,Saturday,Ramadan Start (Tentative Date),Observance
sierra-leone,2025,8 Mar,Saturday,International Women's Day,Public Holiday
sierra-leone,2025,20 Mar,Thursday,March Equinox,Season
sierra-leone,2025,31 Mar,Monday,Eid al-Fitr (Tentative Date),Public Holiday
sierra-leone,2025,18 Apr,Friday,Good Friday,Public Holiday
sierra-leone,2025,21 Apr,Monday,Easter Monday,Public Holiday
sierra-leone,2025,27 Apr,Sunday,Independence Day,Public Holiday
sierra-leone,2025,28 Apr,Monday,Independence Day observed,Public Holiday
sierra-leone,2025,1 May,Thursday,International Worker’s Day,Public Holiday
sierra-leone,2025,7 Jun,Saturday,Tabaski (Tentative Date),Public Holiday
sierra-leone,2025,21 Jun,Saturday,June Solstice,Season
sierra-leone,2025,5 Sep,Friday,The Prophet's Birthday (Tentative Date),Public Holiday
sierra-leone,2025,22 Sep,Monday,September Equinox,Season
sierra-leone,2025,21 Dec,Sunday,December Solstice,Season
sierra-leone,2025,25 Dec,Thursday,Christmas Day,Public Holiday
sierra-leone,2025,26 Dec,Friday,Boxing Day,Public Holiday
sierra-leone,2026,1 Jan,Thursday,New Year,Public Holiday
sierra-leone,2026,18 Feb,Wednesday,Ramadan Start (Tentative Date),Observance
sierra-leone,2026,18 Feb,Wednesday,Armed Forces Day,Public Holiday
sierra-leone,2026,8 Mar,Sunday,International Women's Day,Public Holiday
sierra-leone,2026,9 Mar,Monday,Day off for International Women's Day,Public Holiday
sierra-leone,2026,20 Mar,Friday,Eid al-Fitr (Tentative Date),Public Holiday
sierra-leone,2026,20 Mar,Friday,March Equinox,Season
sierra-leone,2026,3 Apr,Friday,Good Friday,Public Holiday
sierra-leone,2026,6 Apr,Monday,Easter Monday,Public Holiday
sierra-leone,2026,27 Apr,Monday,Independence Day,Public Holiday
sierra-leone,2026,1 May,Friday,International Worker’s Day,Public Holiday
sierra-leone,2026,27 May,Wednesday,Tabaski (Tentative Date),Public Holiday
sierra-leone,2026,21 Jun,Sunday,June Solstice,Season
sierra-leone,2026,26 Aug,Wednesday,The Prophet's Birthday (Tentative Date),Public Holiday
sierra-leone,2026,23 Sep,Wednesday,September Equinox,Season
sierra-leone,2026,21 Dec,Monday,December Solstice,Season
sierra-leone,2026,25 Dec,Friday,Christmas Day,Public Holiday
sierra-leone,2026,26 Dec,Saturday,Boxing Day,Public Holiday
sierra-leone,2027,1 Jan,Friday,New Year,Public Holiday
sierra-leone,2027,8 Feb,Monday,Ramadan Start (Tentative Date),Observance
sierra-leone,2027,18 Feb,Thursday,Armed Forces Day,Public Holiday
sierra-leone,2027,8 Mar,Monday,International Women's Day,Public Holiday
sierra-leone,2027,10 Mar,Wednesday,Eid al-Fitr (Tentative Date),Public Holiday
sierra-leone,2027,20 Mar,Saturday,March Equinox,Season
sierra-leone,2027,26 Mar,Friday,Good Friday,Public Holiday
sierra-leone,2027,29 Mar,Monday,Easter Monday,Public Holiday
sierra-leone,2027,27 Apr,Tuesday,Independence Day,Public Holiday
sierra-leone,2027,1 May,Saturday,International Worker’s Day,Public Holiday
