Geo,Event Year,Date,Day,Name,Type
south-korea,2000,1 Jan,Saturday,New Year's Day,Public Holiday
south-korea,2000,5 Feb,Saturday,Seollal Holiday,Public Holiday
south-korea,2000,5 Feb,Saturday,Seollal,Public Holiday
south-korea,2000,7 Feb,Monday,Seollal Holiday,Public Holiday
south-korea,2000,1 Mar,Wednesday,Independence Movement Day,National holiday
south-korea,2000,20 Mar,Monday,March Equinox,Season
south-korea,2000,5 Apr,Wednesday,Arbor Day,Public Holiday
south-korea,2000,1 May,Monday,Labor Day,Bank Holiday
south-korea,2000,5 May,Friday,Children's Day,Public Holiday
south-korea,2000,8 May,Monday,Parents' Day,Observance
south-korea,2000,15 May,Monday,Teacher's Day,Observance
south-korea,2000,6 Jun,Tuesday,Memorial Day,Public Holiday
south-korea,2000,21 Jun,Wednesday,June Solstice,Season
south-korea,2000,17 Jul,Monday,Constitution Day,National holiday
south-korea,2000,15 Aug,Tuesday,Liberation Day,National holiday
south-korea,2000,11 Sep,Monday,Chuseok Holiday,Public Holiday
south-korea,2000,12 Sep,Tuesday,Chuseok,Public Holiday
south-korea,2000,13 Sep,Wednesday,Chuseok Holiday,Public Holiday
south-korea,2000,23 Sep,Saturday,September Equinox,Season
south-korea,2000,1 Oct,Sunday,Armed Forces Day,Observance
south-korea,2000,3 Oct,Tuesday,National Foundation Day,National holiday
south-korea,2000,9 Oct,Monday,Hangeul Proclamation Day,Observance
south-korea,2000,21 Dec,Thursday,December Solstice,Season
south-korea,2000,24 Dec,Sunday,Christmas Eve,Observance
south-korea,2000,25 Dec,Monday,Christmas Day,Public Holiday
south-korea,2000,31 Dec,Sunday,New Year's Eve,Observance
south-korea,2001,1 Jan,Monday,New Year's Day,Public Holiday
south-korea,2001,24 Jan,Wednesday,Seollal Holiday,Public Holiday
south-korea,2001,24 Jan,Wednesday,Seollal,Public Holiday
south-korea,2001,25 Jan,Thursday,Seollal Holiday,Public Holiday
south-korea,2001,1 Mar,Thursday,Independence Movement Day,National holiday
south-korea,2001,20 Mar,Tuesday,March Equinox,Season
south-korea,2001,5 Apr,Thursday,Arbor Day,Public Holiday
south-korea,2001,1 May,Tuesday,Labor Day,Bank Holiday
south-korea,2001,5 May,Saturday,Children's Day,Public Holiday
south-korea,2001,8 May,Tuesday,Parents' Day,Observance
south-korea,2001,15 May,Tuesday,Teacher's Day,Observance
south-korea,2001,6 Jun,Wednesday,Memorial Day,Public Holiday
south-korea,2001,21 Jun,Thursday,June Solstice,Season
south-korea,2001,17 Jul,Tuesday,Constitution Day,National holiday
south-korea,2001,15 Aug,Wednesday,Liberation Day,National holiday
south-korea,2001,23 Sep,Sunday,September Equinox,Season
south-korea,2001,30 Sep,Sunday,Chuseok Holiday,Public Holiday
south-korea,2001,1 Oct,Monday,Chuseok,Public Holiday
south-korea,2001,1 Oct,Monday,Armed Forces Day,Observance
south-korea,2001,2 Oct,Tuesday,Chuseok Holiday,Public Holiday
south-korea,2001,3 Oct,Wednesday,National Foundation Day,National holiday
south-korea,2001,9 Oct,Tuesday,Hangeul Proclamation Day,Observance
south-korea,2001,22 Dec,Saturday,December Solstice,Season
south-korea,2001,24 Dec,Monday,Christmas Eve,Observance
south-korea,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
south-korea,2001,31 Dec,Monday,New Year's Eve,Observance
south-korea,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
south-korea,2002,12 Feb,Tuesday,Seollal Holiday,Public Holiday
south-korea,2002,12 Feb,Tuesday,Seollal,Public Holiday
south-korea,2002,13 Feb,Wednesday,Seollal Holiday,Public Holiday
south-korea,2002,1 Mar,Friday,Independence Movement Day,National holiday
south-korea,2002,21 Mar,Thursday,March Equinox,Season
south-korea,2002,5 Apr,Friday,Arbor Day,Public Holiday
south-korea,2002,1 May,Wednesday,Labor Day,Bank Holiday
south-korea,2002,5 May,Sunday,Children's Day,Public Holiday
south-korea,2002,8 May,Wednesday,Parents' Day,Observance
south-korea,2002,15 May,Wednesday,Teacher's Day,Observance
south-korea,2002,6 Jun,Thursday,Memorial Day,Public Holiday
south-korea,2002,21 Jun,Friday,June Solstice,Season
south-korea,2002,17 Jul,Wednesday,Constitution Day,National holiday
south-korea,2002,15 Aug,Thursday,Liberation Day,National holiday
south-korea,2002,20 Sep,Friday,Chuseok Holiday,Public Holiday
south-korea,2002,21 Sep,Saturday,Chuseok,Public Holiday
south-korea,2002,22 Sep,Sunday,Chuseok Holiday,Public Holiday
south-korea,2002,23 Sep,Monday,September Equinox,Season
south-korea,2002,1 Oct,Tuesday,Armed Forces Day,Observance
south-korea,2002,3 Oct,Thursday,National Foundation Day,National holiday
south-korea,2002,9 Oct,Wednesday,Hangeul Proclamation Day,Observance
south-korea,2002,22 Dec,Sunday,December Solstice,Season
south-korea,2002,24 Dec,Tuesday,Christmas Eve,Observance
south-korea,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
south-korea,2002,31 Dec,Tuesday,New Year's Eve,Observance
south-korea,2003,1 Jan,Wednesday,New Year's Day,Public Holiday
south-korea,2003,1 Feb,Saturday,Seollal Holiday,Public Holiday
south-korea,2003,1 Feb,Saturday,Seollal,Public Holiday
south-korea,2003,3 Feb,Monday,Seollal Holiday,Public Holiday
south-korea,2003,1 Mar,Saturday,Independence Movement Day,National holiday
south-korea,2003,21 Mar,Friday,March Equinox,Season
south-korea,2003,5 Apr,Saturday,Arbor Day,Public Holiday
south-korea,2003,1 May,Thursday,Labor Day,Bank Holiday
south-korea,2003,5 May,Monday,Children's Day,Public Holiday
south-korea,2003,8 May,Thursday,Buddha’s Birthday,Public Holiday
south-korea,2003,8 May,Thursday,Parents' Day,Observance
