Geo,Event Year,Date,Day,Name,Type
sudan,2005,1 Jan,Saturday,Independence Day,Public Holiday
sudan,2005,7 Jan,Friday,Coptic Christmas,Public Holiday
sudan,2005,20 Jan,Thursday,Eid al-Adha Holiday,Public Holiday
sudan,2005,21 Jan,Friday,Eid al-Adha,Public Holiday
sudan,2005,22 Jan,Saturday,Eid al-Adha Holiday,Public Holiday
sudan,2005,23 Jan,Sunday,Eid al-Adha Holiday,Public Holiday
sudan,2005,24 Jan,Monday,Eid al-Adha Holiday,Public Holiday
sudan,2005,10 Feb,Thursday,Muharram,Public Holiday
sudan,2005,20 Mar,Sunday,March Equinox,Season
sudan,2005,21 Apr,Thursday,The Prophet's Birthday,Public Holiday
sudan,2005,1 May,Sunday,Coptic Easter,Public Holiday
sudan,2005,21 Jun,Tuesday,June Solstice,Season
sudan,2005,30 Jun,Thursday,Revolution Day,Public Holiday
sudan,2005,23 Sep,Friday,September Equinox,Season
sudan,2005,4 Nov,Friday,Eid al-Fitr,Public Holiday
sudan,2005,5 Nov,Saturday,Eid al-Fitr Holiday,Public Holiday
sudan,2005,6 Nov,Sunday,Eid al-Fitr Holiday,Public Holiday
sudan,2005,7 Nov,Monday,Eid al-Fitr Holiday,Public Holiday
sudan,2005,21 Dec,Wednesday,December Solstice,Season
sudan,2006,1 Jan,Sunday,Independence Day,Public Holiday
sudan,2006,7 Jan,Saturday,Coptic Christmas,Public Holiday
sudan,2006,9 Jan,Monday,Eid al-Adha Holiday,Public Holiday
sudan,2006,10 Jan,Tuesday,Eid al-Adha,Public Holiday
sudan,2006,11 Jan,Wednesday,Eid al-Adha Holiday,Public Holiday
sudan,2006,12 Jan,Thursday,Eid al-Adha Holiday,Public Holiday
sudan,2006,13 Jan,Friday,Eid al-Adha Holiday,Public Holiday
sudan,2006,31 Jan,Tuesday,Muharram,Public Holiday
sudan,2006,20 Mar,Monday,March Equinox,Season
sudan,2006,11 Apr,Tuesday,The Prophet's Birthday,Public Holiday
sudan,2006,23 Apr,Sunday,Coptic Easter,Public Holiday
sudan,2006,21 Jun,Wednesday,June Solstice,Season
sudan,2006,30 Jun,Friday,Revolution Day,Public Holiday
