Geo,Event Year,Date,Day,Name,Type
tajikistan,2000,1 Jan,Saturday,New Year's Day,Public Holiday
tajikistan,2000,3 Jan,Monday,Day off for New Year's Day,Public Holiday
tajikistan,2000,8 Jan,Saturday,Eid ul Fitr,Public Holiday
tajikistan,2000,8 Mar,Wednesday,International Women's Day,Public Holiday
tajikistan,2000,16 Mar,Thursday,Eid al-Adha,Public Holiday
tajikistan,2000,20 Mar,Monday,March Equinox,Season
tajikistan,2000,1 May,Monday,Labor Day / May Day,Public Holiday
tajikistan,2000,9 May,Tuesday,Victory Day,Public Holiday
tajikistan,2000,21 Jun,Wednesday,June Solstice,Season
tajikistan,2000,27 Jun,Tuesday,Day of National Unity,Public Holiday
tajikistan,2000,9 Sep,Saturday,Independence Day,Public Holiday
tajikistan,2000,11 Sep,Monday,Day off for Independence Day,Public Holiday
tajikistan,2000,22 Sep,Friday,September Equinox,Season
tajikistan,2000,6 Nov,Monday,Constitution Day,Public Holiday
tajikistan,2000,21 Dec,Thursday,December Solstice,Season
tajikistan,2000,28 Dec,Thursday,Eid ul Fitr,Public Holiday
tajikistan,2001,1 Jan,Monday,New Year's Day,Public Holiday
tajikistan,2001,6 Mar,Tuesday,Eid al-Adha,Public Holiday
tajikistan,2001,8 Mar,Thursday,International Women's Day,Public Holiday
tajikistan,2001,20 Mar,Tuesday,March Equinox,Season
tajikistan,2001,1 May,Tuesday,Labor Day / May Day,Public Holiday
tajikistan,2001,9 May,Wednesday,Victory Day,Public Holiday
tajikistan,2001,21 Jun,Thursday,June Solstice,Season
tajikistan,2001,27 Jun,Wednesday,Day of National Unity,Public Holiday
tajikistan,2001,9 Sep,Sunday,Independence Day,Public Holiday
tajikistan,2001,10 Sep,Monday,Day off for Independence Day,Public Holiday
tajikistan,2001,23 Sep,Sunday,September Equinox,Season
tajikistan,2001,6 Nov,Tuesday,Constitution Day,Public Holiday
tajikistan,2001,17 Dec,Monday,Eid ul Fitr,Public Holiday
tajikistan,2001,22 Dec,Saturday,December Solstice,Season
tajikistan,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
tajikistan,2002,23 Feb,Saturday,Eid al-Adha,Public Holiday
tajikistan,2002,8 Mar,Friday,International Women's Day,Public Holiday
tajikistan,2002,21 Mar,Thursday,March Equinox,Season
tajikistan,2002,1 May,Wednesday,Labor Day / May Day,Public Holiday
tajikistan,2002,9 May,Thursday,Victory Day,Public Holiday
tajikistan,2002,21 Jun,Friday,June Solstice,Season
tajikistan,2002,27 Jun,Thursday,Day of National Unity,Public Holiday
tajikistan,2002,9 Sep,Monday,Independence Day,Public Holiday
tajikistan,2002,23 Sep,Monday,September Equinox,Season
tajikistan,2002,6 Nov,Wednesday,Constitution Day,Public Holiday
tajikistan,2002,6 Dec,Friday,Eid ul Fitr,Public Holiday
tajikistan,2002,22 Dec,Sunday,December Solstice,Season
tajikistan,2003,1 Jan,Wednesday,New Year's Day,Public Holiday
tajikistan,2003,12 Feb,Wednesday,Eid al-Adha,Public Holiday
tajikistan,2003,8 Mar,Saturday,International Women's Day,Public Holiday
