Geo,Event Year,Date,Day,Name,Type
timor-leste,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
timor-leste,2002,13 Feb,Wednesday,Ash Wednesday,Observance
timor-leste,2002,23 Feb,Saturday,Eid al-Adha,Public Holiday
timor-leste,2002,21 Mar,Thursday,March Equinox,Season
timor-leste,2002,28 Mar,Thursday,Proclamation of Independence Day,Public Holiday
timor-leste,2002,29 Mar,Friday,Good Friday,Public Holiday
timor-leste,2002,1 May,Wednesday,Labor Day / May Day,Public Holiday
timor-leste,2002,20 May,Monday,Restoration of Independence Day,Public Holiday
timor-leste,2002,30 May,Thursday,Corpus Christi,Public Holiday
timor-leste,2002,21 Jun,Friday,June Solstice,Season
timor-leste,2002,30 Aug,Friday,Popular Consultation Day,Public Holiday
timor-leste,2002,23 Sep,Monday,September Equinox,Season
timor-leste,2002,1 Nov,Friday,All Saints' Day,Public Holiday
timor-leste,2002,2 Nov,Saturday,All Souls' Day,Public Holiday
timor-leste,2002,12 Nov,Tuesday,Youth National Day,Public Holiday
timor-leste,2002,6 Dec,Friday,Eid ul Fitr,Public Holiday
timor-leste,2002,7 Dec,Saturday,National Heroes Day,Public Holiday
timor-leste,2002,8 Dec,Sunday,Day of Our Lady of Immaculate Conception,Public Holiday
timor-leste,2002,22 Dec,Sunday,December Solstice,Season
timor-leste,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
timor-leste,2003,1 Jan,Wednesday,New Year's Day,Public Holiday
timor-leste,2003,12 Feb,Wednesday,Eid al-Adha,Public Holiday
timor-leste,2003,5 Mar,Wednesday,Ash Wednesday,Observance
timor-leste,2003,21 Mar,Friday,March Equinox,Season
timor-leste,2003,28 Mar,Friday,Proclamation of Independence Day,Public Holiday
timor-leste,2003,18 Apr,Friday,Good Friday,Public Holiday
timor-leste,2003,1 May,Thursday,Labor Day / May Day,Public Holiday
timor-leste,2003,20 May,Tuesday,Restoration of Independence Day,Public Holiday
timor-leste,2003,19 Jun,Thursday,Corpus Christi,Public Holiday
timor-leste,2003,22 Jun,Sunday,June Solstice,Season
timor-leste,2003,30 Aug,Saturday,Popular Consultation Day,Public Holiday
timor-leste,2003,23 Sep,Tuesday,September Equinox,Season
timor-leste,2003,1 Nov,Saturday,All Saints' Day,Public Holiday
timor-leste,2003,2 Nov,Sunday,All Souls' Day,Public Holiday
timor-leste,2003,12 Nov,Wednesday,Youth National Day,Public Holiday
timor-leste,2003,26 Nov,Wednesday,Eid ul Fitr,Public Holiday
timor-leste,2003,7 Dec,Sunday,National Heroes Day,Public Holiday
timor-leste,2003,8 Dec,Monday,Day of Our Lady of Immaculate Conception,Public Holiday
timor-leste,2003,22 Dec,Monday,December Solstice,Season
timor-leste,2003,25 Dec,Thursday,Christmas Day,Public Holiday
timor-leste,2004,1 Jan,Thursday,New Year's Day,Public Holiday
timor-leste,2004,2 Feb,Monday,Eid al-Adha,Public Holiday
timor-leste,2004,25 Feb,Wednesday,Ash Wednesday,Observance
timor-leste,2004,20 Mar,Saturday,March Equinox,Season
timor-leste,2004,28 Mar,Sunday,Proclamation of Independence Day,Public Holiday
timor-leste,2004,9 Apr,Friday,Good Friday,Public Holiday
timor-leste,2004,1 May,Saturday,Labor Day / May Day,Public Holiday
timor-leste,2004,20 May,Thursday,Restoration of Independence Day,Public Holiday
timor-leste,2004,10 Jun,Thursday,Corpus Christi,Public Holiday
timor-leste,2004,21 Jun,Monday,June Solstice,Season
timor-leste,2004,30 Aug,Monday,Popular Consultation Day,Public Holiday
timor-leste,2004,23 Sep,Thursday,September Equinox,Season
timor-leste,2004,1 Nov,Monday,All Saints' Day,Public Holiday
timor-leste,2004,2 Nov,Tuesday,All Souls' Day,Public Holiday
timor-leste,2004,12 Nov,Friday,Youth National Day,Public Holiday
timor-leste,2004,14 Nov,Sunday,Eid ul Fitr,Public Holiday
timor-leste,2004,7 Dec,Tuesday,National Heroes Day,Public Holiday
timor-leste,2004,8 Dec,Wednesday,Day of Our Lady of Immaculate Conception,Public Holiday
timor-leste,2004,21 Dec,Tuesday,December Solstice,Season
timor-leste,2004,25 Dec,Saturday,Christmas Day,Public Holiday
timor-leste,2005,1 Jan,Saturday,New Year's Day,Public Holiday
timor-leste,2005,21 Jan,Friday,Eid al-Adha,Public Holiday
