Geo,Event Year,Date,Day,Name,Type
togo,2000,1 Jan,Saturday,New Year,Public Holiday
togo,2000,8 Jan,Saturday,Eid al-Fitr,Public Holiday
togo,2000,13 Jan,Thursday,Liberation Day,Public Holiday
togo,2000,16 Mar,Thursday,Tabaski,Public Holiday
togo,2000,20 Mar,Monday,March Equinox,Season
togo,2000,24 Apr,Monday,Easter Monday,Public Holiday
togo,2000,27 Apr,Thursday,Independence Day,Public Holiday
togo,2000,1 May,Monday,Labour Day,Public Holiday
togo,2000,1 Jun,Thursday,Ascension Day,Public Holiday
togo,2000,12 Jun,Monday,Whit Monday,Public Holiday
togo,2000,15 Jun,Thursday,The Prophet's Birthday,Observance
togo,2000,21 Jun,Wednesday,Day of the Martyrs,Public Holiday
togo,2000,21 Jun,Wednesday,June Solstice,Season
togo,2000,15 Aug,Tuesday,Assumption of Mary,Public Holiday
togo,2000,22 Sep,Friday,September Equinox,Season
togo,2000,24 Sep,Sunday,Anniversary of the Failed Attack on Lomé,Observance
togo,2000,1 Nov,Wednesday,All Saints' Day,Public Holiday
togo,2000,21 Dec,Thursday,December Solstice,Season
togo,2000,25 Dec,Monday,Christmas Day,Public Holiday
togo,2000,28 Dec,Thursday,Eid al-Fitr,Public Holiday
togo,2001,1 Jan,Monday,New Year,Public Holiday
togo,2001,13 Jan,Saturday,Liberation Day,Public Holiday
togo,2001,6 Mar,Tuesday,Tabaski,Public Holiday
togo,2001,20 Mar,Tuesday,March Equinox,Season
togo,2001,16 Apr,Monday,Easter Monday,Public Holiday
togo,2001,27 Apr,Friday,Independence Day,Public Holiday
togo,2001,1 May,Tuesday,Labour Day,Public Holiday
togo,2001,24 May,Thursday,Ascension Day,Public Holiday
togo,2001,4 Jun,Monday,Whit Monday,Public Holiday
togo,2001,4 Jun,Monday,The Prophet's Birthday,Observance
togo,2001,21 Jun,Thursday,Day of the Martyrs,Public Holiday
togo,2001,21 Jun,Thursday,June Solstice,Season
togo,2001,15 Aug,Wednesday,Assumption of Mary,Public Holiday
togo,2001,22 Sep,Saturday,September Equinox,Season
togo,2001,24 Sep,Monday,Anniversary of the Failed Attack on Lomé,Observance
togo,2001,1 Nov,Thursday,All Saints' Day,Public Holiday
togo,2001,17 Dec,Monday,Eid al-Fitr,Public Holiday
togo,2001,21 Dec,Friday,December Solstice,Season
togo,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
togo,2002,1 Jan,Tuesday,New Year,Public Holiday
togo,2002,13 Jan,Sunday,Liberation Day,Public Holiday
togo,2002,23 Feb,Saturday,Tabaski,Public Holiday
togo,2002,20 Mar,Wednesday,March Equinox,Season
togo,2002,1 Apr,Monday,Easter Monday,Public Holiday
togo,2002,27 Apr,Saturday,Independence Day,Public Holiday
togo,2002,1 May,Wednesday,Labour Day,Public Holiday
togo,2002,9 May,Thursday,Ascension Day,Public Holiday
togo,2002,20 May,Monday,Whit Monday,Public Holiday
togo,2002,24 May,Friday,The Prophet's Birthday,Observance
togo,2002,21 Jun,Friday,Day of the Martyrs,Public Holiday
togo,2002,21 Jun,Friday,June Solstice,Season
togo,2002,15 Aug,Thursday,Assumption of Mary,Public Holiday
togo,2002,23 Sep,Monday,September Equinox,Season
togo,2002,24 Sep,Tuesday,Anniversary of the Failed Attack on Lomé,Observance
togo,2002,1 Nov,Friday,All Saints' Day,Public Holiday
togo,2002,6 Dec,Friday,Eid al-Fitr,Public Holiday
togo,2002,22 Dec,Sunday,December Solstice,Season
togo,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
togo,2003,1 Jan,Wednesday,New Year,Public Holiday
togo,2003,13 Jan,Monday,Liberation Day,Public Holiday
togo,2003,12 Feb,Wednesday,Tabaski,Public Holiday
togo,2003,21 Mar,Friday,March Equinox,Season
togo,2003,21 Apr,Monday,Easter Monday,Public Holiday
togo,2003,27 Apr,Sunday,Independence Day,Public Holiday
togo,2003,1 May,Thursday,Labour Day,Public Holiday
togo,2003,14 May,Wednesday,The Prophet's Birthday,Observance
togo,2003,29 May,Thursday,Ascension Day,Public Holiday
togo,2003,9 Jun,Monday,Whit Monday,Public Holiday
togo,2003,21 Jun,Saturday,Day of the Martyrs,Public Holiday
togo,2003,21 Jun,Saturday,June Solstice,Season
togo,2003,15 Aug,Friday,Assumption of Mary,Public Holiday
togo,2003,23 Sep,Tuesday,September Equinox,Season
togo,2003,24 Sep,Wednesday,Anniversary of the Failed Attack on Lomé,Observance
togo,2003,1 Nov,Saturday,All Saints' Day,Public Holiday
togo,2003,26 Nov,Wednesday,Eid al-Fitr,Public Holiday
togo,2003,22 Dec,Monday,December Solstice,Season
togo,2003,25 Dec,Thursday,Christmas Day,Public Holiday
togo,2004,1 Jan,Thursday,New Year,Public Holiday
togo,2004,13 Jan,Tuesday,Liberation Day,Public Holiday
togo,2004,2 Feb,Monday,Tabaski,Public Holiday
togo,2004,20 Mar,Saturday,March Equinox,Season
togo,2004,12 Apr,Monday,Easter Monday,Public Holiday
togo,2004,27 Apr,Tuesday,Independence Day,Public Holiday
togo,2004,1 May,Saturday,Labour Day,Public Holiday
togo,2004,2 May,Sunday,The Prophet's Birthday,Observance
togo,2004,20 May,Thursday,Ascension Day,Public Holiday
togo,2004,31 May,Monday,Whit Monday,Public Holiday
togo,2004,21 Jun,Monday,Day of the Martyrs,Public Holiday
togo,2004,21 Jun,Monday,June Solstice,Season
togo,2004,15 Aug,Sunday,Assumption of Mary,Public Holiday
togo,2004,22 Sep,Wednesday,September Equinox,Season
togo,2004,24 Sep,Friday,Anniversary of the Failed Attack on Lomé,Observance
togo,2004,1 Nov,Monday,All Saints' Day,Public Holiday
togo,2004,14 Nov,Sunday,Eid al-Fitr,Public Holiday
togo,2004,21 Dec,Tuesday,December Solstice,Season
togo,2004,25 Dec,Saturday,Christmas Day,Public Holiday
togo,2005,1 Jan,Saturday,New Year,Public Holiday
togo,2005,13 Jan,Thursday,Liberation Day,Public Holiday
