Geo,Event Year,Date,Day,Name,Type
trinidad,2012,1 Jan,Sunday,New Year's Day,Public holiday
trinidad,2012,2 Jan,Monday,New Year's Day observed,Public holiday
trinidad,2012,14 Feb,Tuesday,Valentine's Day,Observance
trinidad,2012,20 Feb,Monday,Carnival,De facto holiday
trinidad,2012,21 Feb,Tuesday,Carnival/Shrove Tuesday,De facto holiday
trinidad,2012,20 Mar,Tuesday,March Equinox,Season
trinidad,2012,30 Mar,Friday,Spiritual Baptist Liberation Day,Public holiday
trinidad,2012,6 Apr,Friday,Good Friday,Public holiday
trinidad,2012,8 Apr,Sunday,Easter Sunday,Observance
trinidad,2012,9 Apr,Monday,Easter Monday,Public holiday
trinidad,2012,13 May,Sunday,Mother's Day,Observance
trinidad,2012,30 May,Wednesday,Indian Arrival Day,Public holiday
trinidad,2012,7 Jun,Thursday,Corpus Christi,Public holiday
trinidad,2012,17 Jun,Sunday,Father's Day,Observance
trinidad,2012,19 Jun,Tuesday,Labour Day,Public holiday
trinidad,2012,20 Jun,Wednesday,June Solstice,Season
trinidad,2012,1 Aug,Wednesday,Emancipation Day,Public holiday
trinidad,2012,19 Aug,Sunday,Eid al-Fitr,Public holiday
trinidad,2012,31 Aug,Friday,Independence Day,Public holiday
trinidad,2012,22 Sep,Saturday,September Equinox,Season
trinidad,2012,24 Sep,Monday,Republic Day,Public holiday
trinidad,2012,13 Nov,Tuesday,Diwali/Deepavali,Public holiday
trinidad,2012,21 Dec,Friday,December Solstice,Season
trinidad,2012,24 Dec,Monday,Christmas Eve,Observance
trinidad,2012,25 Dec,Tuesday,Christmas Day,Public holiday
trinidad,2012,26 Dec,Wednesday,Boxing Day,Public holiday
trinidad,2012,31 Dec,Monday,New Year's Eve,Observance
trinidad,2013,1 Jan,Tuesday,New Year's Day,Public holiday
trinidad,2013,11 Feb,Monday,Carnival,De facto holiday
trinidad,2013,12 Feb,Tuesday,Carnival/Shrove Tuesday,De facto holiday
trinidad,2013,14 Feb,Thursday,Valentine's Day,Observance
trinidad,2013,20 Mar,Wednesday,March Equinox,Season
trinidad,2013,29 Mar,Friday,Good Friday,Public holiday
trinidad,2013,30 Mar,Saturday,Spiritual Baptist Liberation Day,Public holiday
trinidad,2013,31 Mar,Sunday,Easter Sunday,Observance
trinidad,2013,1 Apr,Monday,Easter Monday,Public holiday
trinidad,2013,12 May,Sunday,Mother's Day,Observance
trinidad,2013,30 May,Thursday,Indian Arrival Day,Public holiday
trinidad,2013,30 May,Thursday,Corpus Christi,Public holiday
trinidad,2013,31 May,Friday,Public Holiday,Public holiday
trinidad,2013,16 Jun,Sunday,Father's Day,Observance
trinidad,2013,19 Jun,Wednesday,Labour Day,Public holiday
trinidad,2013,21 Jun,Friday,June Solstice,Season
trinidad,2013,1 Aug,Thursday,Emancipation Day,Public holiday
trinidad,2013,8 Aug,Thursday,Eid al-Fitr,Public holiday
trinidad,2013,31 Aug,Saturday,Independence Day,Public holiday
trinidad,2013,22 Sep,Sunday,September Equinox,Season
trinidad,2013,24 Sep,Tuesday,Republic Day,Public holiday
trinidad,2013,3 Nov,Sunday,Diwali/Deepavali,Public holiday
trinidad,2013,4 Nov,Monday,Diwali/Deepavali observed,Public holiday
trinidad,2013,21 Dec,Saturday,December Solstice,Season
trinidad,2013,24 Dec,Tuesday,Christmas Eve,Observance
trinidad,2013,25 Dec,Wednesday,Christmas Day,Public holiday
trinidad,2013,26 Dec,Thursday,Boxing Day,Public holiday
trinidad,2013,31 Dec,Tuesday,New Year's Eve,Observance
trinidad,2014,1 Jan,Wednesday,New Year's Day,Public holiday
trinidad,2014,14 Feb,Friday,Valentine's Day,Observance
trinidad,2014,3 Mar,Monday,Carnival,De facto holiday
trinidad,2014,4 Mar,Tuesday,Carnival/Shrove Tuesday,De facto holiday
trinidad,2014,20 Mar,Thursday,March Equinox,Season
trinidad,2014,30 Mar,Sunday,Spiritual Baptist Liberation Day,Public holiday
trinidad,2014,31 Mar,Monday,Spiritual Baptist Liberation Day observed,Public holiday
trinidad,2014,18 Apr,Friday,Good Friday,Public holiday
trinidad,2014,20 Apr,Sunday,Easter Sunday,Observance
trinidad,2014,21 Apr,Monday,Easter Monday,Public holiday
trinidad,2014,11 May,Sunday,Mother's Day,Observance
trinidad,2014,30 May,Friday,Indian Arrival Day,Public holiday
trinidad,2014,15 Jun,Sunday,Father's Day,Observance
trinidad,2014,19 Jun,Thursday,Corpus Christi,Public holiday
trinidad,2014,19 Jun,Thursday,Labour Day,Public holiday
trinidad,2014,20 Jun,Friday,Public Holiday,Public holiday
trinidad,2014,21 Jun,Saturday,June Solstice,Season
trinidad,2014,29 Jul,Tuesday,Eid al-Fitr,Public holiday
trinidad,2014,1 Aug,Friday,Emancipation Day,Public holiday
trinidad,2014,31 Aug,Sunday,Independence Day,Public holiday
trinidad,2014,1 Sep,Monday,Independence Day observed,Public holiday
trinidad,2014,22 Sep,Monday,September Equinox,Season
trinidad,2014,24 Sep,Wednesday,Republic Day,Public holiday
trinidad,2014,23 Oct,Thursday,Diwali/Deepavali,Public holiday
trinidad,2014,21 Dec,Sunday,December Solstice,Season
trinidad,2014,24 Dec,Wednesday,Christmas Eve,Observance
trinidad,2014,25 Dec,Thursday,Christmas Day,Public holiday
trinidad,2014,26 Dec,Friday,Boxing Day,Public holiday
trinidad,2014,31 Dec,Wednesday,New Year's Eve,Observance
trinidad,2015,1 Jan,Thursday,New Year's Day,Public holiday
trinidad,2015,14 Feb,Saturday,Valentine's Day,Observance
trinidad,2015,16 Feb,Monday,Carnival,De facto holiday
trinidad,2015,17 Feb,Tuesday,Carnival/Shrove Tuesday,De facto holiday
trinidad,2015,20 Mar,Friday,March Equinox,Season
trinidad,2015,30 Mar,Monday,Spiritual Baptist Liberation Day,Public holiday
trinidad,2015,3 Apr,Friday,Good Friday,Public holiday
trinidad,2015,5 Apr,Sunday,Easter Sunday,Observance
trinidad,2015,6 Apr,Monday,Easter Monday,Public holiday
trinidad,2015,10 May,Sunday,Mother's Day,Observance
trinidad,2015,30 May,Saturday,Indian Arrival Day,Public holiday
trinidad,2015,4 Jun,Thursday,Corpus Christi,Public holiday
trinidad,2015,19 Jun,Friday,Labour Day,Public holiday
trinidad,2015,21 Jun,Sunday,Father's Day,Observance
trinidad,2015,21 Jun,Sunday,June Solstice,Season
trinidad,2015,18 Jul,Saturday,Eid al-Fitr,Public holiday
trinidad,2015,1 Aug,Saturday,Emancipation Day,Public holiday
trinidad,2015,31 Aug,Monday,Independence Day,Public holiday
trinidad,2015,23 Sep,Wednesday,September Equinox,Season
trinidad,2015,24 Sep,Thursday,Republic Day,Public holiday
trinidad,2015,11 Nov,Wednesday,Diwali/Deepavali,Public holiday
trinidad,2015,22 Dec,Tuesday,December Solstice,Season
trinidad,2015,24 Dec,Thursday,Christmas Eve,Observance
trinidad,2015,25 Dec,Friday,Christmas Day,Public holiday
trinidad,2015,26 Dec,Saturday,Boxing Day,Public holiday
trinidad,2015,31 Dec,Thursday,New Year's Eve,Observance
trinidad,2016,1 Jan,Friday,New Year's Day,Public holiday
