Geo,Event Year,Date,Day,Name,Type
ukraine,2000,1 Jan,Saturday,New Year's Day,National holiday
ukraine,2000,3 Jan,Monday,Day off for New Year's Day,National holiday
ukraine,2000,7 Jan,Friday,Orthodox Christmas Day,"National holiday, Orthodox"
ukraine,2000,14 Jan,Friday,Orthodox New Year,"Observance, Orthodox"
ukraine,2000,19 Jan,Wednesday,Epiphany,Observance
ukraine,2000,14 Feb,Monday,Valentine's Day,Observance
ukraine,2000,23 Feb,Wednesday,Day of Defenders and Defenders of Ukraine,Observance
ukraine,2000,8 Mar,Wednesday,International Women's Day,National holiday
ukraine,2000,20 Mar,Monday,March Equinox,Season
ukraine,2000,23 Mar,Thursday,Cultural Workers and Folk Artists Day,Observance
ukraine,2000,26 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
ukraine,2000,1 Apr,Saturday,April Fools,Observance
ukraine,2000,30 Apr,Sunday,Orthodox Easter Day,"National holiday, Orthodox"
ukraine,2000,1 May,Monday,Orthodox Easter Monday,"National holiday, Orthodox"
ukraine,2000,1 May,Monday,Labor Day,National holiday
ukraine,2000,9 May,Tuesday,Victory Day,National holiday
ukraine,2000,14 May,Sunday,Mother's Day,Observance
ukraine,2000,20 May,Saturday,Europe Day,Observance
ukraine,2000,28 May,Sunday,Kyiv Day,Observance
ukraine,2000,6 Jun,Tuesday,Journalists' Day,Observance
ukraine,2000,18 Jun,Sunday,Orthodox Pentecost,"National holiday, Orthodox"
ukraine,2000,19 Jun,Monday,Orthodox Pentecost Holiday,"National holiday, Orthodox"
ukraine,2000,21 Jun,Wednesday,June Solstice,Season
ukraine,2000,28 Jun,Wednesday,Constitution Day,National holiday
ukraine,2000,6 Jul,Thursday,Kupala Night,Observance
ukraine,2000,24 Aug,Thursday,Independence Day,National holiday
ukraine,2000,22 Sep,Friday,September Equinox,Season
ukraine,2000,29 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
ukraine,2000,6 Dec,Wednesday,Army Day,Observance
ukraine,2000,19 Dec,Tuesday,St. Nicholas Day,"Observance, Orthodox"
ukraine,2000,21 Dec,Thursday,December Solstice,Season
ukraine,2000,25 Dec,Monday,Christmas Day,Observance
ukraine,2001,1 Jan,Monday,New Year's Day,National holiday
ukraine,2001,7 Jan,Sunday,Orthodox Christmas Day,"National holiday, Orthodox"
ukraine,2001,8 Jan,Monday,Day off for Orthodox Christmas Day,"National holiday, Orthodox"
ukraine,2001,14 Jan,Sunday,Orthodox New Year,"Observance, Orthodox"
ukraine,2001,19 Jan,Friday,Epiphany,Observance
ukraine,2001,14 Feb,Wednesday,Valentine's Day,Observance
ukraine,2001,23 Feb,Friday,Day of Defenders and Defenders of Ukraine,Observance
ukraine,2001,8 Mar,Thursday,International Women's Day,National holiday
ukraine,2001,20 Mar,Tuesday,March Equinox,Season
ukraine,2001,23 Mar,Friday,Cultural Workers and Folk Artists Day,Observance
ukraine,2001,25 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
ukraine,2001,1 Apr,Sunday,April Fools,Observance
ukraine,2001,15 Apr,Sunday,Orthodox Easter Day,"National holiday, Orthodox"
ukraine,2001,16 Apr,Monday,Orthodox Easter Monday,"National holiday, Orthodox"
ukraine,2001,1 May,Tuesday,Labor Day,National holiday
ukraine,2001,9 May,Wednesday,Victory Day,National holiday
ukraine,2001,13 May,Sunday,Mother's Day,Observance
ukraine,2001,19 May,Saturday,Europe Day,Observance
ukraine,2001,27 May,Sunday,Kyiv Day,Observance
ukraine,2001,3 Jun,Sunday,Orthodox Pentecost,"National holiday, Orthodox"
ukraine,2001,4 Jun,Monday,Orthodox Pentecost Holiday,"National holiday, Orthodox"
ukraine,2001,6 Jun,Wednesday,Journalists' Day,Observance
ukraine,2001,21 Jun,Thursday,June Solstice,Season
ukraine,2001,22 Jun,Friday,Day of Mourning and Commemoration of War Victims,Observance
ukraine,2001,28 Jun,Thursday,Constitution Day,National holiday
ukraine,2001,6 Jul,Friday,Kupala Night,Observance
ukraine,2001,24 Aug,Friday,Independence Day,National holiday
ukraine,2001,23 Sep,Sunday,September Equinox,Season
ukraine,2001,28 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
ukraine,2001,6 Dec,Thursday,Army Day,Observance
ukraine,2001,19 Dec,Wednesday,St. Nicholas Day,"Observance, Orthodox"
ukraine,2001,21 Dec,Friday,December Solstice,Season
ukraine,2001,25 Dec,Tuesday,Christmas Day,Observance
ukraine,2002,1 Jan,Tuesday,New Year's Day,National holiday
ukraine,2002,7 Jan,Monday,Orthodox Christmas Day,"National holiday, Orthodox"
ukraine,2002,14 Jan,Monday,Orthodox New Year,"Observance, Orthodox"
ukraine,2002,19 Jan,Saturday,Epiphany,Observance
ukraine,2002,14 Feb,Thursday,Valentine's Day,Observance
ukraine,2002,23 Feb,Saturday,Day of Defenders and Defenders of Ukraine,Observance
ukraine,2002,8 Mar,Friday,International Women's Day,National holiday
ukraine,2002,20 Mar,Wednesday,March Equinox,Season
ukraine,2002,23 Mar,Saturday,Cultural Workers and Folk Artists Day,Observance
ukraine,2002,31 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
ukraine,2002,1 Apr,Monday,April Fools,Observance
ukraine,2002,1 May,Wednesday,Labor Day,National holiday
ukraine,2002,5 May,Sunday,Orthodox Easter Day,"National holiday, Orthodox"
ukraine,2002,6 May,Monday,Orthodox Easter Monday,"National holiday, Orthodox"
ukraine,2002,9 May,Thursday,Victory Day,National holiday
ukraine,2002,12 May,Sunday,Mother's Day,Observance
ukraine,2002,18 May,Saturday,Europe Day,Observance
ukraine,2002,26 May,Sunday,Kyiv Day,Observance
ukraine,2002,6 Jun,Thursday,Journalists' Day,Observance
ukraine,2002,21 Jun,Friday,June Solstice,Season
ukraine,2002,22 Jun,Saturday,Day of Mourning and Commemoration of War Victims,Observance
ukraine,2002,23 Jun,Sunday,Orthodox Pentecost,"National holiday, Orthodox"
ukraine,2002,24 Jun,Monday,Orthodox Pentecost Holiday,"National holiday, Orthodox"
ukraine,2002,28 Jun,Friday,Constitution Day,National holiday
ukraine,2002,6 Jul,Saturday,Kupala Night,Observance
ukraine,2002,24 Aug,Saturday,Independence Day,National holiday
ukraine,2002,26 Aug,Monday,Day off for Independence Day,National holiday
ukraine,2002,23 Sep,Monday,September Equinox,Season
ukraine,2002,27 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
ukraine,2002,6 Dec,Friday,Army Day,Observance
ukraine,2002,19 Dec,Thursday,St. Nicholas Day,"Observance, Orthodox"
ukraine,2002,22 Dec,Sunday,December Solstice,Season
ukraine,2002,25 Dec,Wednesday,Christmas Day,Observance
ukraine,2003,1 Jan,Wednesday,New Year's Day,National holiday
ukraine,2003,7 Jan,Tuesday,Orthodox Christmas Day,"National holiday, Orthodox"
ukraine,2003,14 Jan,Tuesday,Orthodox New Year,"Observance, Orthodox"
ukraine,2003,19 Jan,Sunday,Epiphany,Observance
ukraine,2003,14 Feb,Friday,Valentine's Day,Observance
ukraine,2003,23 Feb,Sunday,Day of Defenders and Defenders of Ukraine,Observance
ukraine,2003,8 Mar,Saturday,International Women's Day,National holiday
ukraine,2003,10 Mar,Monday,Day off for International Women's Day,National holiday
ukraine,2003,21 Mar,Friday,March Equinox,Season
ukraine,2003,23 Mar,Sunday,Cultural Workers and Folk Artists Day,Observance
ukraine,2003,30 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
ukraine,2003,1 Apr,Tuesday,April Fools,Observance
