Geo,Event Year,Date,Day,Name,Type
united-arab-emirates,2000,1 Jan,Saturday,New Year's Day,National holiday
united-arab-emirates,2000,8 Jan,Saturday,Eid al-Fitr,National holiday
united-arab-emirates,2000,7 Mar,Tuesday,Hajj season begins,Observance
united-arab-emirates,2000,15 Mar,Wednesday,Arafat (Hajj) Day,National holiday
united-arab-emirates,2000,16 Mar,Thursday,Eid al-Adha (Feast of Sacrifice),National holiday
united-arab-emirates,2000,20 Mar,Monday,March Equinox,Season
united-arab-emirates,2000,6 Apr,Thursday,Al-Hijra (Islamic New Year),National holiday
united-arab-emirates,2000,15 Jun,Thursday,Mouloud,National holiday
united-arab-emirates,2000,21 Jun,Wednesday,June Solstice,Season
united-arab-emirates,2000,22 Sep,Friday,September Equinox,Season
united-arab-emirates,2000,26 Oct,Thursday,Leilat al-Meiraj (The Prophet's Ascension),National holiday
united-arab-emirates,2000,2 Dec,Saturday,National Day,National holiday
united-arab-emirates,2000,21 Dec,Thursday,December Solstice,Season
united-arab-emirates,2000,28 Dec,Thursday,Eid al-Fitr,National holiday
united-arab-emirates,2000,31 Dec,Sunday,New Year's Eve,Observance
united-arab-emirates,2001,1 Jan,Monday,New Year's Day,National holiday
united-arab-emirates,2001,25 Feb,Sunday,Hajj season begins,Observance
united-arab-emirates,2001,5 Mar,Monday,Arafat (Hajj) Day,National holiday
united-arab-emirates,2001,6 Mar,Tuesday,Eid al-Adha (Feast of Sacrifice),National holiday
united-arab-emirates,2001,20 Mar,Tuesday,March Equinox,Season
united-arab-emirates,2001,26 Mar,Monday,Al-Hijra (Islamic New Year),National holiday
united-arab-emirates,2001,4 Jun,Monday,Mouloud,National holiday
united-arab-emirates,2001,21 Jun,Thursday,June Solstice,Season
united-arab-emirates,2001,23 Sep,Sunday,September Equinox,Season
united-arab-emirates,2001,15 Oct,Monday,Leilat al-Meiraj (The Prophet's Ascension),National holiday
united-arab-emirates,2001,2 Dec,Sunday,National Day,National holiday
united-arab-emirates,2001,17 Dec,Monday,Eid al-Fitr,National holiday
united-arab-emirates,2001,21 Dec,Friday,December Solstice,Season
united-arab-emirates,2001,31 Dec,Monday,New Year's Eve,Observance
united-arab-emirates,2002,1 Jan,Tuesday,New Year's Day,National holiday
united-arab-emirates,2002,14 Feb,Thursday,Hajj season begins,Observance
united-arab-emirates,2002,22 Feb,Friday,Arafat (Hajj) Day,National holiday
united-arab-emirates,2002,23 Feb,Saturday,Eid al-Adha (Feast of Sacrifice),National holiday
united-arab-emirates,2002,15 Mar,Friday,Al-Hijra (Islamic New Year),National holiday
united-arab-emirates,2002,20 Mar,Wednesday,March Equinox,Season
united-arab-emirates,2002,24 May,Friday,Mouloud,National holiday
united-arab-emirates,2002,21 Jun,Friday,June Solstice,Season
united-arab-emirates,2002,23 Sep,Monday,September Equinox,Season
united-arab-emirates,2002,4 Oct,Friday,Leilat al-Meiraj (The Prophet's Ascension),National holiday
united-arab-emirates,2002,2 Dec,Monday,National Day,National holiday
united-arab-emirates,2002,6 Dec,Friday,Eid al-Fitr,National holiday
united-arab-emirates,2002,22 Dec,Sunday,December Solstice,Season
united-arab-emirates,2002,31 Dec,Tuesday,New Year's Eve,Observance
united-arab-emirates,2003,1 Jan,Wednesday,New Year's Day,National holiday
united-arab-emirates,2003,3 Feb,Monday,Hajj season begins,Observance
united-arab-emirates,2003,11 Feb,Tuesday,Arafat (Hajj) Day,National holiday
united-arab-emirates,2003,12 Feb,Wednesday,Eid al-Adha (Feast of Sacrifice),National holiday
united-arab-emirates,2003,5 Mar,Wednesday,Al-Hijra (Islamic New Year),National holiday
united-arab-emirates,2003,21 Mar,Friday,March Equinox,Season
united-arab-emirates,2003,14 May,Wednesday,Mouloud,National holiday
united-arab-emirates,2003,21 Jun,Saturday,June Solstice,Season
united-arab-emirates,2003,23 Sep,Tuesday,September Equinox,Season
united-arab-emirates,2003,24 Sep,Wednesday,Leilat al-Meiraj (The Prophet's Ascension),National holiday
united-arab-emirates,2003,26 Nov,Wednesday,Eid al-Fitr,National holiday
united-arab-emirates,2003,2 Dec,Tuesday,National Day,National holiday
united-arab-emirates,2003,22 Dec,Monday,December Solstice,Season
united-arab-emirates,2003,31 Dec,Wednesday,New Year's Eve,Observance
united-arab-emirates,2004,1 Jan,Thursday,New Year's Day,National holiday
united-arab-emirates,2004,24 Jan,Saturday,Hajj season begins,Observance
united-arab-emirates,2004,1 Feb,Sunday,Arafat (Hajj) Day,National holiday
united-arab-emirates,2004,2 Feb,Monday,Eid al-Adha (Feast of Sacrifice),National holiday
united-arab-emirates,2004,22 Feb,Sunday,Al-Hijra (Islamic New Year),National holiday
united-arab-emirates,2004,20 Mar,Saturday,March Equinox,Season
united-arab-emirates,2004,2 May,Sunday,Mouloud,National holiday
united-arab-emirates,2004,21 Jun,Monday,June Solstice,Season
united-arab-emirates,2004,12 Sep,Sunday,Leilat al-Meiraj (The Prophet's Ascension),National holiday
united-arab-emirates,2004,22 Sep,Wednesday,September Equinox,Season
united-arab-emirates,2004,14 Nov,Sunday,Eid al-Fitr,National holiday
united-arab-emirates,2004,2 Dec,Thursday,National Day,National holiday
united-arab-emirates,2004,21 Dec,Tuesday,December Solstice,Season
united-arab-emirates,2004,31 Dec,Friday,New Year's Eve,Observance
united-arab-emirates,2005,1 Jan,Saturday,New Year's Day,National holiday
united-arab-emirates,2005,12 Jan,Wednesday,Hajj season begins,Observance
united-arab-emirates,2005,20 Jan,Thursday,Arafat (Hajj) Day,National holiday
united-arab-emirates,2005,21 Jan,Friday,Eid al-Adha (Feast of Sacrifice),National holiday
united-arab-emirates,2005,10 Feb,Thursday,Al-Hijra (Islamic New Year),National holiday
united-arab-emirates,2005,20 Mar,Sunday,March Equinox,Season
united-arab-emirates,2005,21 Apr,Thursday,Mouloud,National holiday
united-arab-emirates,2005,21 Jun,Tuesday,June Solstice,Season
united-arab-emirates,2005,1 Sep,Thursday,Leilat al-Meiraj (The Prophet's Ascension),National holiday
united-arab-emirates,2005,23 Sep,Friday,September Equinox,Season
united-arab-emirates,2005,4 Nov,Friday,Eid al-Fitr,National holiday
united-arab-emirates,2005,2 Dec,Friday,National Day,National holiday
