Geo,Event Year,Date,Day,Name,Type
us,2000,1 Jan,Saturday,New Year's Day,Federal Holiday
us,2000,3 Jan,Monday,Lailat al-Qadr,Muslim
us,2000,6 Jan,Thursday,Epiphany,Christian
us,2000,7 Jan,Friday,Orthodox Christmas Day,Orthodox
us,2000,8 Jan,Saturday,Battle of New Orleans,State Legal Holiday
us,2000,13 Jan,Thursday,Stephen Foster Memorial Day,Observance
us,2000,14 Jan,Friday,Orthodox New Year,Orthodox
us,2000,14 Jan,Friday,Lee-Jackson Day,State Holiday
us,2000,17 Jan,Monday,Martin Luther King Jr. Day,Federal Holiday
us,2000,17 Jan,Monday,Robert E. Lee's Birthday,State Holiday
us,2000,17 Jan,Monday,Idaho Human Rights Day,State Holiday
us,2000,17 Jan,Monday,Civil Rights Day,State Holiday
us,2000,19 Jan,Wednesday,Robert E. Lee's Birthday,State Legal Holiday
us,2000,19 Jan,Wednesday,Confederate Heroes' Day,State Holiday
us,2000,22 Jan,Saturday,Tu Bishvat/Tu B'Shevat,Jewish holiday
us,2000,29 Jan,Saturday,Kansas Day,State Observance
us,2000,30 Jan,Sunday,Super Bowl,Sporting event
us,2000,1 Feb,Tuesday,National Freedom Day,Observance
us,2000,1 Feb,Tuesday,First Day of Black History Month,Annual Monthly Observance
us,2000,2 Feb,Wednesday,Groundhog Day,Observance
us,2000,4 Feb,Friday,Rosa Parks Day,Local observance
us,2000,5 Feb,Saturday,Lunar New Year,Observance
us,2000,11 Feb,Friday,Lincoln's Birthday observed,State Holiday
us,2000,12 Feb,Saturday,Lincoln's Birthday,State Holiday
us,2000,12 Feb,Saturday,Georgia Day,State Observance
us,2000,14 Feb,Monday,Valentine's Day,Observance
us,2000,14 Feb,Monday,Statehood Day,Local observance
us,2000,15 Feb,Tuesday,Susan B. Anthony's Birthday,State Observance
us,2000,16 Feb,Wednesday,Elizabeth Peratrovich Day,State Observance
us,2000,21 Feb,Monday,Presidents' Day,Federal Holiday
us,2000,21 Feb,Monday,Presidents' Day,State Holiday
us,2000,21 Feb,Monday,Presidents' Day,State Legal Holiday
us,2000,25 Feb,Friday,George Rogers Clark Day,State Observance
us,2000,28 Feb,Monday,Linus Pauling Day,Local observance
us,2000,1 Mar,Wednesday,St. David's Day,"Observance, Christian"
us,2000,1 Mar,Wednesday,First Day of Women's History Month,Annual Monthly Observance
us,2000,1 Mar,Wednesday,First Day of Irish American Heritage Month,Annual Monthly Observance
us,2000,2 Mar,Thursday,Texas Independence Day,State Holiday
us,2000,2 Mar,Thursday,Read Across America Day,Observance
us,2000,3 Mar,Friday,Employee Appreciation Day,Observance
us,2000,4 Mar,Saturday,Casimir Pulaski Day,State Observance
us,2000,6 Mar,Monday,Casimir Pulaski Day,State Observance
us,2000,7 Mar,Tuesday,Shrove Tuesday/Mardi Gras,"Observance, Christian"
us,2000,7 Mar,Tuesday,Shrove Tuesday/Mardi Gras,State Holiday
us,2000,7 Mar,Tuesday,Town Meeting Day,State Holiday
us,2000,8 Mar,Wednesday,Ash Wednesday,Christian
us,2000,16 Mar,Thursday,Eid al-Adha,Muslim
us,2000,17 Mar,Friday,St. Patrick's Day,"Observance, Christian"
us,2000,17 Mar,Friday,Evacuation Day,State Holiday
us,2000,20 Mar,Monday,March Equinox,Season
us,2000,21 Mar,Tuesday,Purim,Jewish holiday
us,2000,25 Mar,Saturday,Maryland Day,Local observance
us,2000,26 Mar,Sunday,Prince Jonah Kuhio Kalanianaole Day,State Holiday
us,2000,27 Mar,Monday,Prince Jonah Kuhio Kalanianaole Day observed,State Holiday
us,2000,27 Mar,Monday,Seward's Day,State Holiday
us,2000,30 Mar,Thursday,Doctors' Day,Observance
us,2000,31 Mar,Friday,César Chávez Day,State Holiday
