Geo,Event Year,Date,Day,Name,Type
vatican-city-state,2009,1 Jan,Thursday,New Year's Day,National holiday
vatican-city-state,2009,6 Jan,Tuesday,Epiphany,National holiday
vatican-city-state,2009,11 Feb,Wednesday,Anniversary of the foundation of Vatican City,National holiday
vatican-city-state,2009,19 Mar,Thursday,Fathers' Day,Observance
vatican-city-state,2009,19 Mar,Thursday,St Joseph's Day,National holiday
vatican-city-state,2009,20 Mar,Friday,March Equinox,Season
vatican-city-state,2009,29 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
vatican-city-state,2009,10 Apr,Friday,Good Friday,Observance
vatican-city-state,2009,11 Apr,Saturday,Holy Saturday,Observance
vatican-city-state,2009,12 Apr,Sunday,Easter Sunday,National holiday
vatican-city-state,2009,13 Apr,Monday,Easter Monday,National holiday
vatican-city-state,2009,23 Apr,Thursday,St George's Feast,National holiday
vatican-city-state,2009,1 May,Friday,Feast of St Joseph the Worker,National holiday
vatican-city-state,2009,3 May,Sunday,Mothers' Day,Observance
vatican-city-state,2009,21 May,Thursday,Ascension Day,National holiday
vatican-city-state,2009,11 Jun,Thursday,Corpus Domini,National holiday
vatican-city-state,2009,21 Jun,Sunday,June Solstice,Season
vatican-city-state,2009,29 Jun,Monday,The Feasts of Saints Peter and Paul,National holiday
vatican-city-state,2009,15 Aug,Saturday,Day of the Assumption of Mary,National holiday
vatican-city-state,2009,16 Aug,Sunday,Assumption Day Holiday,National holiday
vatican-city-state,2009,22 Sep,Tuesday,September Equinox,Season
vatican-city-state,2009,25 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
vatican-city-state,2009,1 Nov,Sunday,All Saints' Day,National holiday
vatican-city-state,2009,2 Nov,Monday,All Souls' Day,National holiday
vatican-city-state,2009,8 Dec,Tuesday,Feast of the Immaculate Conception,National holiday
vatican-city-state,2009,21 Dec,Monday,December Solstice,Season
vatican-city-state,2009,24 Dec,Thursday,Christmas Eve,Observance
vatican-city-state,2009,25 Dec,Friday,Christmas Day,National holiday
vatican-city-state,2009,26 Dec,Saturday,St Stephen's Day,National holiday
vatican-city-state,2009,31 Dec,Thursday,New Year's Eve,Observance
vatican-city-state,2010,1 Jan,Friday,New Year's Day,National holiday
vatican-city-state,2010,6 Jan,Wednesday,Epiphany,National holiday
vatican-city-state,2010,11 Feb,Thursday,Anniversary of the foundation of Vatican City,National holiday
vatican-city-state,2010,19 Mar,Friday,Fathers' Day,Observance
vatican-city-state,2010,19 Mar,Friday,St Joseph's Day,National holiday
vatican-city-state,2010,20 Mar,Saturday,March Equinox,Season
vatican-city-state,2010,28 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
vatican-city-state,2010,2 Apr,Friday,Good Friday,Observance
vatican-city-state,2010,3 Apr,Saturday,Holy Saturday,Observance
vatican-city-state,2010,4 Apr,Sunday,Easter Sunday,National holiday
vatican-city-state,2010,5 Apr,Monday,Easter Monday,National holiday
vatican-city-state,2010,23 Apr,Friday,St George's Feast,National holiday
vatican-city-state,2010,1 May,Saturday,Feast of St Joseph the Worker,National holiday
vatican-city-state,2010,2 May,Sunday,Mothers' Day,Observance
vatican-city-state,2010,13 May,Thursday,Ascension Day,National holiday
vatican-city-state,2010,3 Jun,Thursday,Corpus Domini,National holiday
vatican-city-state,2010,21 Jun,Monday,June Solstice,Season
vatican-city-state,2010,29 Jun,Tuesday,The Feasts of Saints Peter and Paul,National holiday
vatican-city-state,2010,15 Aug,Sunday,Day of the Assumption of Mary,National holiday
vatican-city-state,2010,16 Aug,Monday,Assumption Day Holiday,National holiday
vatican-city-state,2010,23 Sep,Thursday,September Equinox,Season
vatican-city-state,2010,31 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
vatican-city-state,2010,1 Nov,Monday,All Saints' Day,National holiday
vatican-city-state,2010,2 Nov,Tuesday,All Souls' Day,National holiday
vatican-city-state,2010,8 Dec,Wednesday,Feast of the Immaculate Conception,National holiday
vatican-city-state,2010,22 Dec,Wednesday,December Solstice,Season
vatican-city-state,2010,24 Dec,Friday,Christmas Eve,Observance
vatican-city-state,2010,25 Dec,Saturday,Christmas Day,National holiday
vatican-city-state,2010,26 Dec,Sunday,St Stephen's Day,National holiday
vatican-city-state,2010,31 Dec,Friday,New Year's Eve,Observance
vatican-city-state,2011,1 Jan,Saturday,New Year's Day,National holiday
vatican-city-state,2011,6 Jan,Thursday,Epiphany,National holiday
vatican-city-state,2011,11 Feb,Friday,Anniversary of the foundation of Vatican City,National holiday
