Geo,Event Year,Date,Day,Name,Type
venezuela,2000,1 Jan,Saturday,New Year's Day,National holiday
venezuela,2000,6 Jan,Thursday,The Three Wise Men Day,Observance
venezuela,2000,6 Mar,Monday,Carnival / Shrove Monday,National holiday
venezuela,2000,7 Mar,Tuesday,Carnival / Shrove Tuesday / Pancake Day,National holiday
venezuela,2000,19 Mar,Sunday,Saint Joseph's Day,National holiday
venezuela,2000,20 Mar,Monday,March Equinox,Season
venezuela,2000,16 Apr,Sunday,Palm Sunday,"Observance, Christian"
venezuela,2000,19 Apr,Wednesday,Declaration of Independence,National holiday
venezuela,2000,20 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
venezuela,2000,21 Apr,Friday,Good Friday,"National holiday, Christian"
venezuela,2000,23 Apr,Sunday,Easter Sunday,"Observance, Christian"
venezuela,2000,1 May,Monday,Labor Day / May Day,National holiday
venezuela,2000,1 Jun,Thursday,Ascension Day,Observance
venezuela,2000,20 Jun,Tuesday,June Solstice,Season
venezuela,2000,22 Jun,Thursday,Corpus Christi,Observance
venezuela,2000,24 Jun,Saturday,Carabobo Battle,National holiday
venezuela,2000,29 Jun,Thursday,Saint Peter and Saint Paul,Observance
venezuela,2000,5 Jul,Wednesday,Independence Day,National holiday
venezuela,2000,24 Jul,Monday,Simón Bolívar's Birthday,National holiday
venezuela,2000,3 Aug,Thursday,Flag's Day,Observance
venezuela,2000,4 Aug,Friday,National Guard's Day,Observance
venezuela,2000,15 Aug,Tuesday,Assumption of Mary,Observance
venezuela,2000,11 Sep,Monday,Our Lady of Coromoto,Observance
venezuela,2000,22 Sep,Friday,September Equinox,Season
venezuela,2000,12 Oct,Thursday,Day of Indigenous Resistance,National holiday
venezuela,2000,1 Nov,Wednesday,All Saints Day,Observance
venezuela,2000,2 Nov,Thursday,All Souls Day,National holiday
venezuela,2000,8 Dec,Friday,Feast of the Immaculate Conception,Observance
venezuela,2000,21 Dec,Thursday,December Solstice,Season
venezuela,2000,24 Dec,Sunday,Christmas Eve,"National holiday, Christian"
venezuela,2000,25 Dec,Monday,Christmas Day,"National holiday, Christian"
venezuela,2000,31 Dec,Sunday,New Year's Eve,National holiday
venezuela,2001,1 Jan,Monday,New Year's Day,National holiday
venezuela,2001,6 Jan,Saturday,The Three Wise Men Day,Observance
venezuela,2001,26 Feb,Monday,Carnival / Shrove Monday,National holiday
venezuela,2001,27 Feb,Tuesday,Carnival / Shrove Tuesday / Pancake Day,National holiday
venezuela,2001,19 Mar,Monday,Saint Joseph's Day,National holiday
venezuela,2001,20 Mar,Tuesday,March Equinox,Season
venezuela,2001,8 Apr,Sunday,Palm Sunday,"Observance, Christian"
venezuela,2001,12 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
venezuela,2001,13 Apr,Friday,Good Friday,"National holiday, Christian"
venezuela,2001,15 Apr,Sunday,Easter Sunday,"Observance, Christian"
venezuela,2001,19 Apr,Thursday,Declaration of Independence,National holiday
venezuela,2001,1 May,Tuesday,Labor Day / May Day,National holiday
venezuela,2001,24 May,Thursday,Ascension Day,Observance
venezuela,2001,14 Jun,Thursday,Corpus Christi,Observance
venezuela,2001,21 Jun,Thursday,June Solstice,Season
venezuela,2001,24 Jun,Sunday,Carabobo Battle,National holiday
venezuela,2001,29 Jun,Friday,Saint Peter and Saint Paul,Observance
venezuela,2001,5 Jul,Thursday,Independence Day,National holiday
venezuela,2001,24 Jul,Tuesday,Simón Bolívar's Birthday,National holiday
venezuela,2001,3 Aug,Friday,Flag's Day,Observance
venezuela,2001,4 Aug,Saturday,National Guard's Day,Observance
venezuela,2001,15 Aug,Wednesday,Assumption of Mary,Observance
venezuela,2001,11 Sep,Tuesday,Our Lady of Coromoto,Observance
venezuela,2001,22 Sep,Saturday,September Equinox,Season
venezuela,2001,12 Oct,Friday,Day of Indigenous Resistance,National holiday
venezuela,2001,1 Nov,Thursday,All Saints Day,Observance
venezuela,2001,2 Nov,Friday,All Souls Day,National holiday
venezuela,2001,8 Dec,Saturday,Feast of the Immaculate Conception,Observance
venezuela,2001,21 Dec,Friday,December Solstice,Season
venezuela,2001,24 Dec,Monday,Christmas Eve,"National holiday, Christian"
venezuela,2001,25 Dec,Tuesday,Christmas Day,"National holiday, Christian"
venezuela,2001,31 Dec,Monday,New Year's Eve,National holiday
venezuela,2002,1 Jan,Tuesday,New Year's Day,National holiday
venezuela,2002,6 Jan,Sunday,The Three Wise Men Day,Observance
venezuela,2002,11 Feb,Monday,Carnival / Shrove Monday,National holiday
venezuela,2002,12 Feb,Tuesday,Carnival / Shrove Tuesday / Pancake Day,National holiday
venezuela,2002,19 Mar,Tuesday,Saint Joseph's Day,National holiday
venezuela,2002,20 Mar,Wednesday,March Equinox,Season
venezuela,2002,24 Mar,Sunday,Palm Sunday,"Observance, Christian"
venezuela,2002,28 Mar,Thursday,Maundy Thursday,"National holiday, Christian"
venezuela,2002,29 Mar,Friday,Good Friday,"National holiday, Christian"
venezuela,2002,31 Mar,Sunday,Easter Sunday,"Observance, Christian"
venezuela,2002,19 Apr,Friday,Declaration of Independence,National holiday
venezuela,2002,1 May,Wednesday,Labor Day / May Day,National holiday
venezuela,2002,9 May,Thursday,Ascension Day,Observance
venezuela,2002,30 May,Thursday,Corpus Christi,Observance
venezuela,2002,21 Jun,Friday,June Solstice,Season
venezuela,2002,24 Jun,Monday,Carabobo Battle,National holiday
venezuela,2002,29 Jun,Saturday,Saint Peter and Saint Paul,Observance
venezuela,2002,5 Jul,Friday,Independence Day,National holiday
venezuela,2002,24 Jul,Wednesday,Simón Bolívar's Birthday,National holiday
venezuela,2002,3 Aug,Saturday,Flag's Day,Observance
venezuela,2002,4 Aug,Sunday,National Guard's Day,Observance
venezuela,2002,15 Aug,Thursday,Assumption of Mary,Observance
venezuela,2002,11 Sep,Wednesday,Our Lady of Coromoto,Observance
venezuela,2002,23 Sep,Monday,September Equinox,Season
venezuela,2002,12 Oct,Saturday,Day of Indigenous Resistance,National holiday
venezuela,2002,1 Nov,Friday,All Saints Day,Observance
venezuela,2002,2 Nov,Saturday,All Souls Day,National holiday
venezuela,2002,8 Dec,Sunday,Feast of the Immaculate Conception,Observance
venezuela,2002,21 Dec,Saturday,December Solstice,Season
venezuela,2002,24 Dec,Tuesday,Christmas Eve,"National holiday, Christian"
venezuela,2002,25 Dec,Wednesday,Christmas Day,"National holiday, Christian"
venezuela,2002,31 Dec,Tuesday,New Year's Eve,National holiday
venezuela,2003,1 Jan,Wednesday,New Year's Day,National holiday
venezuela,2003,6 Jan,Monday,The Three Wise Men Day,Observance
venezuela,2003,3 Mar,Monday,Carnival / Shrove Monday,National holiday
