Geo,Event Year,Date,Day,Name,Type
vietnam,2000,1 Jan,Saturday,International New Year's Day,National holiday
vietnam,2000,3 Jan,Monday,Day off for International New Year's Day,National holiday
vietnam,2000,4 Feb,Friday,Vietnamese New Year's Eve,National holiday
vietnam,2000,5 Feb,Saturday,Vietnamese New Year,National holiday
vietnam,2000,6 Feb,Sunday,Tet holiday,National holiday
vietnam,2000,7 Feb,Monday,Tet holiday,National holiday
vietnam,2000,8 Feb,Tuesday,Tet holiday,National holiday
vietnam,2000,9 Feb,Wednesday,Tet holiday,National holiday
vietnam,2000,14 Feb,Monday,Valentine's Day,Observance
vietnam,2000,20 Mar,Monday,March Equinox,Season
vietnam,2000,14 Apr,Friday,Hung Kings Festival,National holiday
vietnam,2000,23 Apr,Sunday,Easter Sunday,Observance
vietnam,2000,30 Apr,Sunday,Liberation Day/Reunification Day,National holiday
vietnam,2000,1 May,Monday,Day off for Liberation Day/Reunification Day,National holiday
vietnam,2000,1 May,Monday,International Labor Day,National holiday
vietnam,2000,2 May,Tuesday,Day off for International Labor Day,National holiday
vietnam,2000,21 Jun,Wednesday,June Solstice,Season
vietnam,2000,28 Jun,Wednesday,Vietnamese Family Day,Observance
vietnam,2000,2 Sep,Saturday,Independence Day,National holiday
vietnam,2000,4 Sep,Monday,Independence Day observed,National holiday
vietnam,2000,23 Sep,Saturday,September Equinox,Season
vietnam,2000,20 Oct,Friday,Vietnamese Women's Day,Observance
vietnam,2000,31 Oct,Tuesday,Halloween,Observance
vietnam,2000,21 Dec,Thursday,December Solstice,Season
vietnam,2000,24 Dec,Sunday,Christmas Eve,Observance
vietnam,2000,25 Dec,Monday,Christmas Day,Observance
vietnam,2000,31 Dec,Sunday,International New Year's Eve,Observance
vietnam,2001,1 Jan,Monday,International New Year's Day,National holiday
vietnam,2001,23 Jan,Tuesday,Vietnamese New Year's Eve,National holiday
vietnam,2001,24 Jan,Wednesday,Vietnamese New Year,National holiday
vietnam,2001,25 Jan,Thursday,Tet holiday,National holiday
vietnam,2001,26 Jan,Friday,Tet holiday,National holiday
vietnam,2001,27 Jan,Saturday,Tet holiday,National holiday
vietnam,2001,28 Jan,Sunday,Tet holiday,National holiday
vietnam,2001,14 Feb,Wednesday,Valentine's Day,Observance
vietnam,2001,20 Mar,Tuesday,March Equinox,Season
vietnam,2001,3 Apr,Tuesday,Hung Kings Festival,National holiday
vietnam,2001,15 Apr,Sunday,Easter Sunday,Observance
vietnam,2001,30 Apr,Monday,Liberation Day/Reunification Day,National holiday
vietnam,2001,1 May,Tuesday,International Labor Day,National holiday
vietnam,2001,21 Jun,Thursday,June Solstice,Season
vietnam,2001,28 Jun,Thursday,Vietnamese Family Day,Observance
vietnam,2001,2 Sep,Sunday,Independence Day,National holiday
vietnam,2001,3 Sep,Monday,Independence Day observed,National holiday
vietnam,2001,23 Sep,Sunday,September Equinox,Season
vietnam,2001,20 Oct,Saturday,Vietnamese Women's Day,Observance
vietnam,2001,31 Oct,Wednesday,Halloween,Observance
vietnam,2001,22 Dec,Saturday,December Solstice,Season
vietnam,2001,24 Dec,Monday,Christmas Eve,Observance
vietnam,2001,25 Dec,Tuesday,Christmas Day,Observance
vietnam,2001,31 Dec,Monday,International New Year's Eve,Observance
vietnam,2002,1 Jan,Tuesday,International New Year's Day,National holiday
vietnam,2002,11 Feb,Monday,Vietnamese New Year's Eve,National holiday
vietnam,2002,12 Feb,Tuesday,Vietnamese New Year,National holiday
vietnam,2002,13 Feb,Wednesday,Tet holiday,National holiday
vietnam,2002,14 Feb,Thursday,Tet holiday,National holiday
vietnam,2002,14 Feb,Thursday,Valentine's Day,Observance
vietnam,2002,15 Feb,Friday,Tet holiday,National holiday
vietnam,2002,16 Feb,Saturday,Tet holiday,National holiday
vietnam,2002,21 Mar,Thursday,March Equinox,Season
vietnam,2002,31 Mar,Sunday,Easter Sunday,Observance
vietnam,2002,22 Apr,Monday,Hung Kings Festival,National holiday
vietnam,2002,30 Apr,Tuesday,Liberation Day/Reunification Day,National holiday
vietnam,2002,1 May,Wednesday,International Labor Day,National holiday
vietnam,2002,21 Jun,Friday,June Solstice,Season
vietnam,2002,28 Jun,Friday,Vietnamese Family Day,Observance
vietnam,2002,2 Sep,Monday,Independence Day,National holiday
vietnam,2002,23 Sep,Monday,September Equinox,Season
vietnam,2002,20 Oct,Sunday,Vietnamese Women's Day,Observance
vietnam,2002,31 Oct,Thursday,Halloween,Observance
vietnam,2002,22 Dec,Sunday,December Solstice,Season
vietnam,2002,24 Dec,Tuesday,Christmas Eve,Observance
vietnam,2002,25 Dec,Wednesday,Christmas Day,Observance
vietnam,2002,31 Dec,Tuesday,International New Year's Eve,Observance
