Geo,Event Year,Date,Day,Name,Type
zimbabwe,2013,1 Jan,Tuesday,New Year,Public Holiday
zimbabwe,2013,20 Mar,Wednesday,March Equinox,Season
zimbabwe,2013,29 Mar,Friday,Good Friday,Public Holiday
zimbabwe,2013,30 Mar,Saturday,Holy Saturday,Public Holiday
zimbabwe,2013,31 Mar,Sunday,Easter Sunday,Public Holiday
zimbabwe,2013,1 Apr,Monday,Easter Monday,Public Holiday
zimbabwe,2013,18 Apr,Thursday,Independence Day,Public Holiday
zimbabwe,2013,1 May,Wednesday,Workers' Day,Public Holiday
zimbabwe,2013,12 May,Sunday,Mother's Day,Observance
zimbabwe,2013,25 May,Saturday,Africa Day,Public Holiday
zimbabwe,2013,16 Jun,Sunday,Father's Day,Observance
zimbabwe,2013,21 Jun,Friday,June Solstice,Season
zimbabwe,2013,12 Aug,Monday,Heroes' Day,Public Holiday
zimbabwe,2013,13 Aug,Tuesday,Defence Forces Day,Public Holiday
zimbabwe,2013,22 Sep,Sunday,September Equinox,Season
zimbabwe,2013,21 Dec,Saturday,December Solstice,Season
zimbabwe,2013,22 Dec,Sunday,Unity Day,Public Holiday
zimbabwe,2013,23 Dec,Monday,Day off for Unity Day,Public Holiday
zimbabwe,2013,25 Dec,Wednesday,Christmas Day,Public Holiday
zimbabwe,2013,26 Dec,Thursday,Boxing Day,Public Holiday
zimbabwe,2014,1 Jan,Wednesday,New Year,Public Holiday
zimbabwe,2014,20 Mar,Thursday,March Equinox,Season
zimbabwe,2014,18 Apr,Friday,Good Friday,Public Holiday
zimbabwe,2014,18 Apr,Friday,Independence Day,Public Holiday
zimbabwe,2014,19 Apr,Saturday,Holy Saturday,Public Holiday
zimbabwe,2014,20 Apr,Sunday,Easter Sunday,Public Holiday
zimbabwe,2014,21 Apr,Monday,Easter Monday,Public Holiday
zimbabwe,2014,1 May,Thursday,Workers' Day,Public Holiday
zimbabwe,2014,11 May,Sunday,Mother's Day,Observance
zimbabwe,2014,25 May,Sunday,Africa Day,Public Holiday
zimbabwe,2014,26 May,Monday,Africa Day observed,Public Holiday
zimbabwe,2014,15 Jun,Sunday,Father's Day,Observance
zimbabwe,2014,21 Jun,Saturday,June Solstice,Season
zimbabwe,2014,11 Aug,Monday,Heroes' Day,Public Holiday
zimbabwe,2014,12 Aug,Tuesday,Defence Forces Day,Public Holiday
zimbabwe,2014,23 Sep,Tuesday,September Equinox,Season
zimbabwe,2014,22 Dec,Monday,Unity Day,Public Holiday
zimbabwe,2014,22 Dec,Monday,December Solstice,Season
zimbabwe,2014,25 Dec,Thursday,Christmas Day,Public Holiday
zimbabwe,2014,26 Dec,Friday,Boxing Day,Public Holiday
zimbabwe,2015,1 Jan,Thursday,New Year,Public Holiday
zimbabwe,2015,21 Mar,Saturday,March Equinox,Season
zimbabwe,2015,3 Apr,Friday,Good Friday,Public Holiday
zimbabwe,2015,4 Apr,Saturday,Holy Saturday,Public Holiday
zimbabwe,2015,5 Apr,Sunday,Easter Sunday,Public Holiday
zimbabwe,2015,6 Apr,Monday,Easter Monday,Public Holiday
zimbabwe,2015,18 Apr,Saturday,Independence Day,Public Holiday
zimbabwe,2015,1 May,Friday,Workers' Day,Public Holiday
zimbabwe,2015,10 May,Sunday,Mother's Day,Observance
zimbabwe,2015,25 May,Monday,Africa Day,Public Holiday
zimbabwe,2015,21 Jun,Sunday,Father's Day,Observance
zimbabwe,2015,21 Jun,Sunday,June Solstice,Season
zimbabwe,2015,10 Aug,Monday,Heroes' Day,Public Holiday
zimbabwe,2015,11 Aug,Tuesday,Defence Forces Day,Public Holiday
zimbabwe,2015,23 Sep,Wednesday,September Equinox,Season
zimbabwe,2015,22 Dec,Tuesday,Unity Day,Public Holiday
zimbabwe,2015,22 Dec,Tuesday,December Solstice,Season
zimbabwe,2015,25 Dec,Friday,Christmas Day,Public Holiday
zimbabwe,2015,26 Dec,Saturday,Boxing Day,Public Holiday
zimbabwe,2016,1 Jan,Friday,New Year,Public Holiday
zimbabwe,2016,20 Mar,Sunday,March Equinox,Season
zimbabwe,2016,25 Mar,Friday,Good Friday,Public Holiday
zimbabwe,2016,26 Mar,Saturday,Holy Saturday,Public Holiday
zimbabwe,2016,27 Mar,Sunday,Easter Sunday,Public Holiday
zimbabwe,2016,28 Mar,Monday,Easter Monday,Public Holiday
zimbabwe,2016,18 Apr,Monday,Independence Day,Public Holiday
zimbabwe,2016,1 May,Sunday,Workers' Day,Public Holiday
zimbabwe,2016,2 May,Monday,Workers' Day observed,Public Holiday
zimbabwe,2016,8 May,Sunday,Mother's Day,Observance
zimbabwe,2016,25 May,Wednesday,Africa Day,Public Holiday
zimbabwe,2016,19 Jun,Sunday,Father's Day,Observance
zimbabwe,2016,21 Jun,Tuesday,June Solstice,Season
zimbabwe,2016,8 Aug,Monday,Heroes' Day,Public Holiday
zimbabwe,2016,9 Aug,Tuesday,Defence Forces Day,Public Holiday
zimbabwe,2016,22 Sep,Thursday,September Equinox,Season
zimbabwe,2016,21 Dec,Wednesday,December Solstice,Season
zimbabwe,2016,22 Dec,Thursday,Unity Day,Public Holiday
zimbabwe,2016,25 Dec,Sunday,Christmas Day,Public Holiday
zimbabwe,2016,26 Dec,Monday,Christmas Day observed,Public Holiday
zimbabwe,2016,26 Dec,Monday,Boxing Day,Public Holiday
zimbabwe,2016,27 Dec,Tuesday,Boxing Day observed,Public Holiday
zimbabwe,2017,1 Jan,Sunday,New Year,Public Holiday
zimbabwe,2017,2 Jan,Monday,New Year observed,Public Holiday
zimbabwe,2017,20 Mar,Monday,March Equinox,Season
zimbabwe,2017,14 Apr,Friday,Good Friday,Public Holiday
zimbabwe,2017,15 Apr,Saturday,Holy Saturday,Public Holiday
zimbabwe,2017,16 Apr,Sunday,Easter Sunday,Public Holiday
zimbabwe,2017,17 Apr,Monday,Easter Monday,Public Holiday
zimbabwe,2017,18 Apr,Tuesday,Independence Day,Public Holiday
zimbabwe,2017,1 May,Monday,Workers' Day,Public Holiday
zimbabwe,2017,14 May,Sunday,Mother's Day,Observance
zimbabwe,2017,25 May,Thursday,Africa Day,Public Holiday
zimbabwe,2017,18 Jun,Sunday,Father's Day,Observance
zimbabwe,2017,21 Jun,Wednesday,June Solstice,Season
zimbabwe,2017,8 Aug,Tuesday,Defence Forces Day,Public Holiday
zimbabwe,2017,14 Aug,Monday,Heroes' Day,Public Holiday
zimbabwe,2017,22 Sep,Friday,September Equinox,Season
zimbabwe,2017,21 Dec,Thursday,December Solstice,Season
zimbabwe,2017,22 Dec,Friday,Unity Day,Public Holiday
zimbabwe,2017,25 Dec,Monday,Christmas Day,Public Holiday
zimbabwe,2017,26 Dec,Tuesday,Boxing Day,Public Holiday
zimbabwe,2018,1 Jan,Monday,New Year,Public Holiday
zimbabwe,2018,21 Feb,Wednesday,Robert Gabriel Mugabe National Youth Day,Public Holiday
zimbabwe,2018,20 Mar,Tuesday,March Equinox,Season
zimbabwe,2018,30 Mar,Friday,Good Friday,Public Holiday
zimbabwe,2018,31 Mar,Saturday,Holy Saturday,Public Holiday
zimbabwe,2018,1 Apr,Sunday,Easter Sunday,Public Holiday
zimbabwe,2018,2 Apr,Monday,Easter Monday,Public Holiday
zimbabwe,2018,18 Apr,Wednesday,Independence Day,Public Holiday
zimbabwe,2018,1 May,Tuesday,Workers' Day,Public Holiday
zimbabwe,2018,13 May,Sunday,Mother's Day,Observance
zimbabwe,2018,25 May,Friday,Africa Day,Public Holiday
zimbabwe,2018,17 Jun,Sunday,Father's Day,Observance
zimbabwe,2018,21 Jun,Thursday,June Solstice,Season
zimbabwe,2018,13 Aug,Monday,Heroes' Day,Public Holiday
zimbabwe,2018,14 Aug,Tuesday,Defence Forces Day,Public Holiday
zimbabwe,2018,23 Sep,Sunday,September Equinox,Season
zimbabwe,2018,22 Dec,Saturday,Unity Day,Public Holiday
zimbabwe,2018,22 Dec,Saturday,December Solstice,Season
zimbabwe,2018,25 Dec,Tuesday,Christmas Day,Public Holiday
zimbabwe,2018,26 Dec,Wednesday,Boxing Day,Public Holiday
zimbabwe,2019,1 Jan,Tuesday,New Year,Public Holiday
zimbabwe,2019,21 Feb,Thursday,Robert Gabriel Mugabe National Youth Day,Public Holiday
zimbabwe,2019,20 Mar,Wednesday,March Equinox,Season
zimbabwe,2019,18 Apr,Thursday,Independence Day,Public Holiday
zimbabwe,2019,19 Apr,Friday,Good Friday,Public Holiday
zimbabwe,2019,20 Apr,Saturday,Holy Saturday,Public Holiday
zimbabwe,2019,21 Apr,Sunday,Easter Sunday,Public Holiday
zimbabwe,2019,22 Apr,Monday,Easter Monday,Public Holiday
zimbabwe,2019,1 May,Wednesday,Workers' Day,Public Holiday
zimbabwe,2019,12 May,Sunday,Mother's Day,Observance
zimbabwe,2019,25 May,Saturday,Africa Day,Public Holiday
zimbabwe,2019,16 Jun,Sunday,Father's Day,Observance
zimbabwe,2019,21 Jun,Friday,June Solstice,Season
zimbabwe,2019,12 Aug,Monday,Heroes' Day,Public Holiday
zimbabwe,2019,13 Aug,Tuesday,Defence Forces Day,Public Holiday
zimbabwe,2019,23 Sep,Monday,September Equinox,Season
zimbabwe,2019,25 Oct,Friday,SADC Solidarity Day,Public Holiday
zimbabwe,2019,22 Dec,Sunday,Unity Day,Public Holiday
zimbabwe,2019,22 Dec,Sunday,December Solstice,Season
zimbabwe,2019,23 Dec,Monday,Day off for Unity Day,Public Holiday
zimbabwe,2019,25 Dec,Wednesday,Christmas Day,Public Holiday
zimbabwe,2019,26 Dec,Thursday,Boxing Day,Public Holiday
zimbabwe,2020,1 Jan,Wednesday,New Year,Public Holiday
zimbabwe,2020,21 Feb,Friday,Robert Gabriel Mugabe National Youth Day,Public Holiday
zimbabwe,2020,20 Mar,Friday,March Equinox,Season
zimbabwe,2020,10 Apr,Friday,Good Friday,Public Holiday
zimbabwe,2020,11 Apr,Saturday,Holy Saturday,Public Holiday
